Nominal                               Clamp    Assembly Torque 
size or          Stress        Proof  Load     -----------------------------------
basic major      Area    Grade Load   (1)      Dry    Lubricated   Dry    Lubricated
diameter         ------- ----- -----  -------  ------ ----------   ------ ----------
of thread        in^2           ksi    lbs     in*lb  in*lb        ft*lb  ft*lb
---------------- ------- ----- -----  -------  ------ ----------   ------ ----------
# 4-40    0.1120   .0060    2     55      248       5         4  
# 4-40    0.1120   .0060    5     85      384      18         6    
# 4-40    0.1120   .0060    8    120      542      12         9    
                                                                                    
# 4-48    0.1120   .0066    2     55      272       6         4  
# 4-48    0.1120   .0060    5     85      421      19        17    
# 4-48    0.1120   .0060    8    120      594      13         9    
                                                                                    
# 6-32    0.1380   .0091    2     55      374      10         7  
# 6-32    0.1380   .0091    5     85      579      15        11    
# 6-32    0.1380   .0091    8    120      817      22         8    
                                                                                    
# 6-36    0.1380   .0101    2     55      418      11         8  
# 6-36    0.1380   .0101    5     85      646      17        13    
# 6-36    0.1380   .0101    8    120      912      25        18    
                                                                                    
# 8-32    0.1640   .0140    2     55      577      18        14  
# 8-32    0.1640   .0140    5     85      893      29        21    
# 8-32    0.1640   .0140    8    120     1260      41        31    
                                                                                    
# 8-36    0.1640   .0147    2     55      607      19        14  
# 8-36    0.1640   .0147    5     85      938      30        23    
# 8-36    0.1640   .0147    8    120     1325      43        32    
                                                                                    
#10-24    0.1900   .0175    2     55      723      27        20  
#10-24    0.1900   .0175    5     85     1117      42        31    
#10-24    0.1900   .0175    8    120     1577      59        44    
                                                                                    
#10-32    0.1900   .0200    2     55      824      31        23  
#10-32    0.1900   .0200    5     85     1274      48        36    
#10-32    0.1900   .0200    8    120     1799      68        51    
                                                                                    
1/4-20    0.2500   .0318    2     55      723      65        49  
1/4-20    0.2500   .0318    5     85     1117     101        76    
1/4-20    0.2500   .0318    8    120     1577     143       107    
1/4-20    0.2500   .0318    9    145     3460     173       129    
                                                                                     
1/4-28    0.2500   .0364    2     55      824      75        56  
1/4-28    0.2500   .0364    5     85     1274     115        86    
1/4-28    0.2500   .0364    8    120     1799     163       122    
1/4-28    0.2500   .0364    9    145     3955     197       148    
                                                                                    
5/16-18   0.3125   .0524    2     55     2162                          11         8  
5/16-18   0.3125   .0524    5     85     3342                          17        13
5/16-18   0.3125   .0524    8    120     4718                          24        18
5/16-18   0.3125   .0524    9    145     5701                          29        22
                                                                                    
5/16-24   0.3125   .0581    2     55     2395                          11         8
5/16-24   0.3125   .0581    5     85     3701                          19        14
5/16-24   0.3125   .0581    8    120     5225                          27        20
5/16-24   0.3125   .0581    9    145     6314                          32        24
                                                                                     
3/8-16    0.3750   .0775    2     55     3196                          19        14  
3/8-16    0.3750   .0775    5     85     4939                          30        23
3/8-16    0.3750   .0775    8    120     6974                          43        32
3/8-16    0.3750   .0775    9    145     8427                          52        39
                                                                                     
3/8-24    0.3750   .0878    2     55     3622                          22        16
3/8-24    0.3750   .0878    5     85     5599                          34        26
3/8-24    0.3750   .0878    8    120     7904                          49        37
3/8-24    0.3750   .0878    9    145     9551                          59        44
                                                                                     
