===========================================================================
FHWA Route Log and Finder List: Table 1
Table 1: Main Routes of the Dwight D. Eisenhower National System Of Interstate and Defense Highways as of October 31, 2002

InterstateRoute	State	Total Miles	Net Miles	Howard-CramerMiles	Sections103(c)(4)(A)& ISTEAMiles	OverlapMiles& Route	MajorCities Served(Pop. larger than 5,000)
A-1	Alaska	408.23	408.23	-	408.23	-	Anchorage
A-2	Alaska	202.18	202.18	-	202.18	-	Fairbanks
A-3	Alaska	148.12	148.12	-	148.12	-	Anchorage
A-4	Alaska	323.69	323.69	-	323.69	-	Anchorage, Fairbanks
	TOTAL	1,082.22	1,082.22		1,082.22		
H-1	Hawaii	27.16	27.16	-	-	-	Honolulu
H-2	Hawaii	8.33	8.33	-	-	-	Honolulu
H-3	Hawaii	15.32	15.32	-	-	-	Honolulu
	TOTAL	50.81	50.81				
PRI-1	Puerto Rico	71.08	71.08	-	71.08	-	Ponce, Caguas, San Juan
PRI-2	Puerto Rico	138.13	138.13	-	138.13	-	Mayaquez, Arecibo, San Juan
PRI-3	Puerto Rico	40.56	40.56	-	40.56	-	San Juan
	TOTAL	249.77	249.77		249.77		
I-4	Florida	132.30	132.30	-	-	-	Tampa, Lakeland, Orlando, Daytona Beach
I-5	California	796.53	796.53	-	-	-	San Diego, Los Angeles, Stockton, Sacramento, Red Bluff, Anderson, Redding, Yreka
Oregon	308.14	308.14	-	-	-	Ashland, Medford, Grants Pass, Roseburg, Eugene, Salem, Portland	
Washington	276.62	276.62	-	-	-	Vancouver, Kelso, Chehalis, Centrailia, Olympia, Tacoma, Seattle, Everett, Mount Vernon, Bellingham	
TOTAL	1,381.29	1,381.29					
I-8	California	169.92	169.92	-	-	-	San Diego, El Centro
Arizona	178.33	178.33	-	-	-	Yuma, Casa Grande	
TOTAL	348.25	348.25					
I-10	California	242.54	240.94	-	-	1.6 Mi on I-5	Santa Monica, Los Angeles, Pomona, Ontario, San Bernardino, Beaumont, Banning Indio, Blythe
Arizona	392.33	392.33	-	-	-	Phoenix, Casa Grande, Tucson	
New Mexico	164.27	164.27	-	-	-	Lordsburg, Deming, Las Cruces	
Texas	881	878.61	-	-	2.39 Mi on I-35	El Paso, Ft.Stockton, Kerrville, San Antonio, Houston, Beaumont, Orange	
Louisiana	274.42	274.42	-	-	-	Lake Charles, LaFayette, Baton Rouge, Kennery, New Orleans	
Mississippi	77.19	77.19	-	-	-	Gulfport, Biloxi, Pascagoula	
Alabama	66.31	66.31	-	-	-	Mobile	
Florida	362.28	362.28	-	-	-	Pensacola, Tallahassee, Jacksonville	
TOTAL	2,460.34	2,456.35	-	-	3.99		
I-12	Louisiana	85.59	85.59	-	-	-	Baton Rouge, Slidell
1-15	California	287.26	287.26	-	-	-	San Diego, Escondido, Corona, Riverside, San Bernardino, Victorville, Barstow
Nevada	123.77	123.77	-	-	-	Las Vegas	
Arizona	29.39	29.39	-	-	-	None	
Utah	401.07	401.07	-	-	-	Saint George, Cedar City, Spanish Fork, Provo, Orem, American Fork, Salt Lake City, Ogden, Brigham City	
Idaho	196.00	196.00	-	-	-	Pocatello, Blackfoot, Idaho Falls	
Montana	396.03	396.03	-	-	-	Butte, Helena, Great Falls	
TOTAL	1,433.52	1,433.52					
I-16	Georgia	166.81	166.81	-	-	-	Macon, Savannah
