
City  							Mileage		
							                
Aberdeen, SD						946		
Aberdeen, WA						839		
Abilene, TX						1,159		
Afton, WY						119		
Akron, OH						1,729		
Alta, UT						103		
Amalga, UT						10		
Alamogordo, NM						888		
Albany, NY						2,180		
Albuquerque, NM						681		
Alamosa, CO (via Durango)				625		
Alpine, UT						114		
Altamont, UT						219		
Amarillo, TX						935		
American Falls, ID					118		
American Fork, UT					112		
Ames, IA						1,082		
Anaconda, MT						363		
Anaheim, CA						760		
Animal Husbandry Farm (USU), UT				6		
Ann Arbor, MI						1,611		
Annapolis, MD						2,079		
Arco, ID						179		
Arcada, CA						910		
Aspen, CO						487		
Athens, GA						1,899		
Atlanta, GA						1843		
Atlantic City, NJ					2,184		
Augusta, GA						1,999		
Austin, TX						1,375		
						                
Bakersfield, CA						778		
Baltimore, MD						2,056		
Baton Rouge, LA						1,700		
Battle Creek, MI					1,543		
Bear River City, UT					26		
Bear River High School, UT				26		
Beaver, UT						280		
Beaver Mountain, UT					30		
Bellefontaine, OH					1,629		
Bend, OR						604		
Berkeley, CA						829		
Bethlehem, PA						2,097		
Billings, MT						481		
Bingham Canyon						108		
Birmingham, AL						1,774		
Bismark, ND						899		
Blackfoot, ID						117		
Blanding, UT						394		
Bloomington, IL						1,336		
Boise, ID						291		
Boston, MA						2,343		
Boulder, CO						501		
Bountiful, UT						72		
Bowling Green, KY					1,599		
Bozeman, MT (via Butte)					450		
Bozeman, MT (via West Yellowstone)			343		
Bremerton, WA						794		
Bridgeport, CT						2,216		
Brigham City, UT					25		
Brookings, SD						1,006		
Bryan, OH						1,563		
Buhl, ID						194		
Bullfrog Basin, UT					376		
Burley, ID						144		
Burlington, IA						1,206		
Butte, MT						354		

Cache Juntion, UT					17
Cairo, IL						1,457
Caldwell, ID						350
Calgary, Alberta, Canada				796
Cambridge, OH						1,748
Camp Williams						109
Canyonlands National Park, UT (Dead Horse Point)	329
Cape Girardeau, MO					1,423
Cape May, NJ						2,199
Carlsbad, NM						954
Carson City, NV						572
Casper, WY						405
Castle Dale, UT						232
Castle Gate, UT						191
Castle Rock						140
Cedar City, UT						323
Cedar Rapids, IA					1,178
Centerville, UT						70
Centralia, IL						1,387
Chanute, KS						1,124
Charleston, SC						2,137
Charleston, WV						1,805
Charlottesville, VA					2,036
Chattanooga, TN						1,742
Chester, IL						1,383
Cheyenne, WY						436
Chicago, IL						1,392
Chillicothe, MO						1,093
Cincinnati, OH						1,615
Circleville						296
Clarksburg, WV						1,848
Clarksdale, MS						1,589
Clarkston, UT						23
Clearfield, UT						52
Clinton, IA						1,152
Clinton, OK						1,058
Coalville, UT						94
Cokeville, WY						93
Colorado Springs, WY					587
Colter Bay, WY						236
Columbia, MO						1,199
Columbia, SC						2,044
Columbia, TN						1,655
Columbus, GA						1,917
Columbus, IN						1,547
Columbus, MS						1,695
Columbus, OH						1,669
Concord, NH						2,326
Cornish, UT						27
Corpus Christi, TX					1,530
Corrine, UT						34
Corvalis, OR						732
Craig, CO						352
Crystal Springs, UT					35
Cumberland, MD						1,925
Custer, SD (via Cody)					705
Dallas, TX						1,291
Danbury, CT						2,250
Danville, Il						1,436
