
Odds of Death Due to Injury, United States, 2003

Type Of Accident Or Manner Of  Injury	Deaths, 1998	One Year Odds	Lifetime Odds
Total  Deaths Due To Injuries, E800-E999b	150,445	1,796	23
All  Accidental Deaths, E800-E949	97,835	2,762	36
Transport  Accidents, E800-E848	45,774	5,904	77
Railway,  E800-E807	515	524,753	6,842
Motor-vehicle,  E810-E825	43,501	6,212	81
Other  road vehicle, E826-E829	235	1,149,991	14,993
Water  transport, E830-E838	692	390,532	5,092
Drowning  (excluded from drowning below), E830, E832	442	611,421	7,972
Other  water transport, E831, E833-E838	250	1,080,992	14,094
Air and  space transport, E840-E845	692	390,532	5,092
Vehicle  accidents not elsewhere classifiable, E846-E848	139	1,944,230	25,349
Poisoning  by solids and liquids, E850-E866	10,255	26,353	344
Drugs,  medicaments and biologicals, E850-E858	9,838	27,470	358
Analgesics,  antipyretics, and antirheumatics, E850	3,141	86,039	1,122
Barbiturates,  E851	16	16,890,500	220,215
Other  sedatives and hypnotics, E852	8	33,781,000	440,430
Tranquilizers,  E853	107	2,525,682	32,929
Other  psychotropic agents, E854	334	809,126	10,549
Other  drugs acting on central and autonomic nervous system, E855	1,540	175,486	2,288
Antibiotics,  E856	39	6,929,436	90,345
Anti-infectives,  E857	4	67,562,000	880,860
Other  drugs, E858	4,649	58,130	758
Poisoning  by other solids and liquids, E860-E866	417	648,077	8,450
Alcohol,  E860	300	900,827	11,745
Cleansing,  polishing agents, disinfectants, paints, varnishes, E861	10	27,024,800	352,344
Petroleum  products, other solvents and their vapors, E862	37	7,304,000	95,228
Agricultural,  horticultural chemical, pharmaceutical preparations, E863	8	33,781,000	440,430
Corrosives  and caustics, E864	5	54,049,600	704,688
Foodstuffs  and poisonous plants, E865	3	90,082,667	1,174,481
Other and  unspecified solids and liquids, E866	54	5,004,593	65,249
Poisoning  by gases and vapors, E867-E869	546	494,960	6,453
Gas  distributed by pipeline, E867	15	18,016,533	234,896
Other  utility gas and other carbon monoxide, E868	444	608,667	7,936
Motor-vehicle  exhaust gas, E868.2	190	1,422,358	18,544
Others,  not motor-vehicle exhaust gas, E868.0, E868.1, E868.3-E868.9	254	1,063,969	13,872
Other  gases and vapors, E869	87	3,106,299	40,499
Complications,  misadventures of surgical, medical care, E870-E879	3,228	83,720	1,092
Falls,  E880-E888	16,274	16,606	217
Fall on  or from stairs or steps, E880	1,389	194,563	2,537
