
Odds of Death Due to Injury, United States, 2005
						
Type of Accident or Manner of Injury 	Deaths 	One Year Odds 	Lifetime Odds
All External Causes of Mortality, V01-Y89, *U01 a, *U03 a	176,406 	1,677 	22
	Deaths Due to Unintentional (Accidental) Injuries, V01-X59, Y85-Y86 	117,809 	2,512 	32
		Transport Accidents, V01-V99, Y85 	48,441 	6,108 	78
		Motor-Vehicle Accidents, V02-V04, V09.0, V12-V14, V19.0-V19.2, V19.4-V19.6, V20-V79, V80.3-V80.5, V81.0-V81.1, V82.0-V82.1, V83-V86, V87.0-V87.8, V88.0-V88.8, V89.0, V89.2	43,508 	6,801 	87
		Pedestrian, V01-V09 	6,074 	48,715 	625
		Pedalcyclist, V10-V19 	927 	319,197 	4,098
		Motorcycle rider, V20-V29 	4,387 	67,448 	866
		Occupant of three-wheeled motor vehicle, V30-V39 	5 	59,179,179 	759,681
		Car occupant, V40-V49 	14,584 	20,289 	260
		Occupant of pick-up truck or van, V50-V59 	3,797 	77,929 	1,000
		Occupant of heavy transport vehicle, V60-V69 	450 	657,546 	8,441
		Bus occupant, V70-V79 	59 	5,015,185 	64,380
		Animal rider or occupant of animal-drawn vehicle, V80 	120 	2,465,799 	31,653
		Occupant of railway train or railway vehicle, V81 	33 	8,966,542 	115,103
		Occupant of streetcar, V82 	0 	--- 	---
		Other and unspecified land transport accidents, V83-V89 	16,148 	18,324 	235
			Occupant of special industrial vehicle, V83 	19 	15,573,468 	199,916
			Occupant of special agricultural vehicle, V84 	154 	1,921,402 	24,665
			Occupant of special construction vehicle, V85 	33 	8,966,542 	115,103
			Occupant of all-terrain or other off-road motor vehicle, V86 	1,040 	284,515 	3,652
			Other and unspecified person, V87-V89 	14,902 	19,856 	255
		Water transport accidents, V90-V94 	523 	565,767 	7,263
			Drowning, V90, V92 	394 	751,005 	9,641
			Other and unspecified injuries, V91, V93-V94 	129 	2,293,767 	29,445
		Air and space transport accidents, V95-V97 	590 	501,518 	6,438
		Other and unspecified transport accidents and sequelae, V98-V99, Y85 	744 	397,710 	5,105
			Other specified transport accidents, V98 	2 	147,947,949 	1,899,203
			Unspecified transport accident, V99 	18 	16,438,661 	211,023
		Nontransport Unintentional (Accidental) Injuries, W00-X59, Y86 	69,368 	4,266 	55
		Falls, W00-W19 	19,656 	15,054 	193
			Fall on same level from slipping, tripping, and stumbling, W01 	698 	423,920 	5,442
			Other fall on same level, W00, W02-W03, W18 	5,224 	56,642 	727
			Fall involving bed, chair, other furniture, W06-W08 	899 	329,139 	4,225
			Fall on and from stairs and steps, W10 	1,690 	175,086 	2,248
			Fall on and from ladder or scaffolding, W11-W12 	477 	620,327 	7,963
			Fall from out of or through building or structure, W13 	533 	555,152 	7,126
			Other fall from one level to another, W09, W14-W17 	694 	426,363 	5,473
			Other and unspecified fall, W04-W05, W19 	9,441 	31,342 	402
		Exposure to inanimate mechanical forces, W20-W49 	2,845 	104,006 	1,335
			Struck by or striking against object, W20-W22 	854 	346,482 	4,448
			Caught between objects, W23 	103 	2,872,776 	36,878
			Contact with machinery, W24, W30-W31 	755 	391,915 	5,031
			Contact with sharp objects, W25-W29 	85 	3,481,128 	44,687
			Firearms discharge, W32-W34 	789 	375,026 	4,814
			Explosion and rupture of pressurized devices, W35-W38 	26 	11,380,611 	146,093
			Fireworks discharge, W39 	4 	73,973,974 	949,602
			Explosion of other materials, W40 	147 	2,012,897 	25,840
			Foreign body entering through skin or natural orifice, W44-W45 	37 	7,997,186 	102,660
			Other and unspecified inanimate mechanical forces, W41-W43, W49 	45 	6,575,464 	84,409
		Exposure to animate mechanical forces, W50-W64 	161 	1,837,863 	23,593
			Struck by or against another person, W50-W52 	26 	11,380,611 	146,093
			Bitten or struck by dog, W54 	33 	8,966,542 	115,103
			Bitten or struck by other mammals, W53, W55 	80 	3,698,699 	47,480
			Bitten or stung by nonvenomous insect and other arthropods, W57 	9 	32,877,322 	422,045
			Bitten or crushed by other reptiles, W59 	0 	--- 	---
			Other and unspecified animate mechanical forces, W56, W58, W60, W64 	13 	22,761,223 	292,185
		Accidental drowning and submersion, W65-W74 	3,582 	82,606 	1,060
			Drowning and submersion while in or falling into bath-tub, W65-W66 	344 	860,162 	11,042
			Drowning and submersion while in or falling into swimming-pool, W67-W68 	607 	487,473 	6,258
			Drowning and submersion while in or falling into natural water, W69-W70 	1,603 	184,589 	2,370
			Other and unspecified drowning and submersion, W73-W74 	1,028 	287,836 	3,695
		Other accidental threats to breathing, W75-W84 	5,900 	50,152 	644
			Accidental suffocation and strangulation in bed, W75 	573 	516,398 	6,629
			Other accidental hanging and strangulation, W76 	274 	1,079,912 	13,863
			Threat to breathing due to cave-in, falling earth and other substances, W77 	50 	5,917,918 	75,968
			Inhalation of gastric contents, W78 	333 	888,576 	11,407
