"AMEX Securities as of 11/9/2007","","",""
"Name","Symbol","Market Value (millions)","Description (as filed with the SEC)"
"AB Svensk Ekportkredit (Swedish Export Credit Corporation)","RJA","$0.0","Not Available"
"AB Svensk Ekportkredit (Swedish Export Credit Corporation)","RJI","$0.0","Not Available"
"AB Svensk Ekportkredit (Swedish Export Credit Corporation)","RJN","$0.0","Not Available"
"AB Svensk Ekportkredit (Swedish Export Credit Corporation)","RJZ","$0.0","Not Available"
"Aberdeen Asia-Pacific Income Fund Inc","FAX","$1,622.3","Not Available"
"Aberdeen Australia Equity Fund Inc","IAF","$332.7","Not Available"
"Aberdeen Global Income Fund, Inc.","FCO","$119.4","Not Available"
"Ableauctions.Com Inc","AAC","$12.3","We provide liquidation and merchandizing services to businesses to assist them
with managing the sale of their products.  Through our subsidiary, Unlimited
Closeouts, Inc., we provide liquidation services to businesses with overstock.
 Through our subsidiary iCollector.com Technologies Ltd., we provide auction
broadcast technology and facilitator services that allow businesses to take
advantage of the on-line auction marketplace.  Through our subsidiary,
Rapidfusion Technologies, Inc., we develop and sell point-of-sale software.  We
manage our cash investments through Ableauctions.com, Inc. and, during 2006 we
expanded our business through our subsidiary, Axion Investment Corporation
(which was formerly known as Stanford Development Corporation).  Axion
Investment Corporation manages our real property and loans to third parties.  We
have included information in the discussion below about our websites.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f30%2f0001134821-07-000024.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Abraxas Petroleum Corporation","ABP","$198.5","As part of a series of restructuring  transactions approved in 2004, we
adopted  a  plan  to  dispose  of our  operations  and  interest  in  Grey  Wolf
Exploration  Inc.,  a  wholly-owned  Canadian  subsidiary  of Abraxas  Petroleum
Corporation.  In February 2005,  Grey Wolf closed on an initial public  offering
resulting in our substantial divestiture of our capital stock in Grey Wolf. As a
result of the disposal of Grey Wolf,  the results of operations of Grey Wolf are
reflected in our  Financial  Statements  and in this  document as  ""Discontinued
Operations""  and our  remaining  operations  are  referred  to in our  Financial
Statements  and in  this  document  as  ""Continuing  Operations""  or  ""Continued
Operations.""   Unless  otherwise  noted,  all  disclosures  are  for  continuing
operations. See Note 3 to the financial statements in Item 8.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f08%2f24%2f0000867665-07-000075.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Accelr8 Technology Corporation","AXK","$38.4","Accelr8 Technology Corporation (“Accelr8” or the “Company”), a Colorado
corporation was incorporated on May 26, 1982. The Company’s office and
laboratory are located at 7000 North Broadway, Building 3-307, Denver, Colorado
80221, and our telephone number is 303-863-8088.

   On January 18, 2001, we acquired the OpTest portfolio of technologies
(“OpTest”) from DDx, Inc. (“DDx”). Since the acquisition of the OpTest assets,
we have focused primarily upon furthering the research and development of the
acquired technologies, and the development of revenue producing products related
to that technology. The purchase of OpTest provided us with a proprietary
surface chemistry formulation and quantitative bio-analytical measurement
instruments. Recently, we have invested in the BACcelr8r platform for
applications related to rapid identification of bacteria and their antibiotic
resistance.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2006%2f10%2f30%2f0001000096-06-000363.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Acme United Corporation.","ACU","$53.1","Acme United Corporation (together with its subsidiaries, the ""Company"") was
organized as a partnership in l867 and incorporated in l882 under the laws of
the State of Connecticut. The Company is a leading worldwide supplier of
innovative cutting, measuring and safety products to the school, home, office
and industrial markets. The Company's operations are in the United States,
Canada, Europe (located in Germany) and Asia (located in Hong Kong and China).
The operations in the United States, Canada and Europe are primarily involved in
product development, manufacturing, marketing, sales, administrative and
distribution activities. The operation in Asia is involved in sourcing, quality
control and sales activities. Net sales in 2006 were the following: United
States - $44.3 million, Canada - $7.3 million, and Europe - $5.2 million.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f15%2f0001026608-07-000040.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Adams Resources & Energy, Inc.","AE","$128.6","This annual report on Form 10-K for the year ended December 31, 2006 contains
certain forward-looking statements covered by the safe harbors provided under
Federal securities law and regulations. To the extent such statements are not
recitations of historical fact, forward-looking statements involve risks and
uncertainties. In particular, statements under the captions (a) Production and
Reserve Information, (b) Regulatory Status and Potential Environmental
Liability, (c) Management’s Discussion and Analysis of Financial Condition and
Results of Operations, (d) Critical Accounting Policies and Use of Estimates,
(e) Quantitative and Qualitative Disclosures about Market Risk, (f) Income
Taxes, (g) Concentration of Credit Risk, (h) Price Risk Management Activities,
and (i) Commitments and Contingencies, among others, contain forward-looking
statements.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f30%2f0000002178-07-000008.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Adcare Health Systems Inc","ADK","$6.1","We are a Springfield, Ohio based developer, owner and manager of retirement
communities, assisted living facilities, nursing homes, and provide home health
care services in the state of Ohio. We currently manage fifteen facilities,
comprised of six skilled nursing centers, seven assisted living residences and
two independent living/senior housing facilities, totaling over 800 beds.
We were organized in 1989 by Gary Wade and Michael Williams, who remain active
in the management of the business, as President and CEO and Executive Vice
President and COO. Passport Retirement, founded by David A. Tenwick, our
Chairman, acquired AdCare Health Systems in 1995. We have a seasoned senior
management team with substantial senior living, healthcare and real estate
industry experience. Our senior management team is incentivized to continue to
grow our business through their combined ownership of approximately 16% of our
common stock.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f30%2f0000950152-07-003729.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"ADCARE HEALTH SYSTEMS INC","ADK/WS","$0.0","Not Available"
"Adherex Technologies Inc","ADH","$48.9","Our legal and commercial name is Adherex Technologies Inc. On September 3, 1996,
our predecessor, Adherex Inc., was incorporated under the CBCA to develop and
commercialize cell adhesion work that was initiated at McGill. On August 14,
1998, Adherex Technologies Inc. was incorporated under the CBCA and on
September 11, 1998, it acquired all of the shares of Adherex Inc. On April 30,
2001, Adherex Technologies Inc. amalgamated with its wholly owned subsidiary,
Adherex Inc., to form the Company. On December 19, 2003, the Company acquired 50
percent of 2037357 Ontario Inc., an Ontario corporation that performed specific
research and development activity for the Company in Ontario. In June 2004,
2037357 Ontario Inc. became a wholly-owned subsidiary of the Company and
continued its existence under the CBCA as Adherex Research Corp. On June 29,
2004, the Company amalgamated with Adherex Research Corp. to continue as Adherex
Technologies Inc.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f02%2f0001193125-07-072214.html#FIS_COMPANY_INFORMATION"" &nbsp;&nbsp;"
"Advanced Battery Technologies, Inc.","GBT","$315.6","Not Available"
"Advanced Photonix, Inc.","API","$51.0","Advanced Photonix, Inc. ® (the Company, we or API), was incorporated under the
laws of the State of Delaware in June 1988. The Company is engaged in the
development and manufacture of optoelectronic devices and value-added
sub-systems and systems. The Company serves a variety of global Original
Equipment Manufacturers (OEMs), in a variety of industries. The Company supports
the customer from the initial concept and design phase of the product, through
testing to full-scale production. The Company has three manufacturing
facilities; located in Camarillo, CA, Dodgeville, WI and Ann Arbor, MI.

Products and Technology

Our Business

API is a leading supplier of custom opto-electronic solutions, high-speed
optical receivers and Terahertz sensors and instrumentation, serving a variety
of global OEM markets. Our optoelectronic solutions are based on our silicon
Large Area Avalanche Photodiode (LAAPD), PIN (positive-intrinsic-negative)
photodiode and FILTRODE® detectors.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f06%2f29%2f0001144204-07-034401.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Advanced Technology Acquisition Corp","AXC","$199.2","No business description found."
"Advanced Technology Acquisition Corp","AXC/U","$0.0","Not Available"
"Advanced Technology Acquisition Corp","AXC/WS","$0.0","Not Available"
"ADVENTRX Pharmaceuticals, Inc.","ANX","$46.7","In this report, the terms “ADVENTRX,” “Company,” “we,” “us” and “our” refer
to ADVENTRX Pharmaceuticals, Inc. The term “Common Stock” refers to our Common
Stock, par value $0.001 per share.
   We organized as a corporation under the Delaware General Corporation Law in
December 1995.
   On May 30, 2003, we merged our wholly owned subsidiary, Biokeys, Inc., into
itself and changed our name from Biokeys Pharmaceuticals, Inc. to ADVENTRX
Pharmaceuticals, Inc. The merger had no effect on our financial statements.
   In July 2004, we formed a wholly owned subsidiary, ADVENTRX (Europe) Ltd., in
the United Kingdom for the purpose of conducting clinical trials in the European
Union.
   CoFactorâ, SeloneÔ and ThiovirÔ are our trademarks, and we have an additional
product, vinorelbine emulsion (ANX-530), for which we do not yet have registered
trademark. Product names, trade names and trademarks of other entities are also
referred to in this report.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2006%2f03%2f16%2f0000936392-06-000226.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"AeroCentury Corp.","ACY","$29.7","AeroCentury Corp. (“AeroCentury”), a Delaware corporation, uses leveraged
financing to acquire leased aircraft assets. AeroCentury was formed in 1997.
Financial information for AeroCentury and its wholly-owned subsidiaries,
AeroCentury Investments V LLC (“AeroCentury V LLC”) and AeroCentury Investments
VI LLC (“AeroCentury VI LLC”) (collectively, the “Company”), is presented on a
consolidated basis. All intercompany balances and transactions have been
eliminated in consolidation.

The business of the Company is managed by JetFleet Management Corp. (""JMC""),
pursuant to a management agreement between the Company and JMC (“the Management
Agreement”), which is an integrated aircraft management, marketing and financing
business and a subsidiary of JetFleet Holding Corp. (""JHC""). Certain officers of
the Company are also officers of JHC and JMC and hold significant ownership
positions in both JHC and the Company.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f13%2f0001036848-07-000010.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Aerosonic Corporation","AIM","$19.3","Aerosonic is a Delaware corporation formerly known as Instrument Technology
Corporation (“ITC”). ITC, which was incorporated in 1968, was the surviving
corporation of a merger, in 1970, with Aerosonic Corp., a Florida corporation
(“Aerosonic Florida”). Aerosonic Florida, which was incorporated in 1957, ceased
to exist as a separate corporation as a result of the merger. Following the
merger, ITC changed its name to Aerosonic Corporation. In January 1993, the
Company acquired Avionics Specialties, Inc., a Virginia corporation
(“Avionics”), from Teledyne Industries, Inc. (“Teledyne”). Prior to the
acquisition, Avionics had been a division of Teledyne. Since the acquisition,
Avionics has been maintained as an operating and wholly owned subsidiary of the
Company.

As used herein, unless the context requires otherwise, references to
“Aerosonic,” the “Company,” “we” or “our” include Aerosonic Corporation and its
operating subsidiary, Avionics.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f05%2f01%2f0000910680-07-000324.html#FIS_BUSINESS"" &nbsp;&nbsp;"
