2007 Pop	2000 Pop	Rank	"%Pop Chg 
2000-2007"	"Pop
%Chg/yr"	"05 Pop
at or above"	"%05 Pop
at or above"	State	Metropolitan Statistical Area	Nickname(s)	Combined Statistical Area	US Population:	"305,186,613"
18815988	18323002	1	2.69%	0.38%	18815988	6.2%	NY-NJ-PA	"New York-Northern New Jersey-Long Island, NY-NJ-PA MSA"	"Greater New York, Tri-State Region"	"New York-Newark-Bridgeport, NY-NJ-CT-PA CSA"		
12875587	12365627	2	4.12%	0.59%	31691575	10.4%	CA	"Los Angeles-Long Beach-Santa Ana, CA MSA"	"Greater Los Angeles, The Southland"	"Los Angeles-Long Beach-Riverside, CA CSA"		
9524673	9098316	3	4.68%	0.67%	41216248	13.5%	IL-IN-WI	"Chicago-Naperville-Joliet, IL-IN-WI MSA"	Chicagoland	"Chicago-Naperville-Michigan City, IL-IN-WI CSA"		
6145037	5161520	4	19.05%	2.72%	47361285	15.5%	TX	"Dallas-Fort Worth-Arlington, TX MSA"	"The Metroplex, Dallas-Fort Worth Metroplex, DFW Metroplex,North Texas"	"Dallas-Fort Worth, TX CSA"		
5827962	5687145	5	2.48%	0.35%	53189247	17.4%	PA-NJ-DE-MD	"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"	Delaware Valley	"Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA"		
5628101	4715402	6	19.36%	2.77%	58817348	19.3%	TX	"Houston-Sugar Land-Baytown, TX MSA"	Greater Houston	"Houston-Baytown-Huntsville, TX CSA"		
5413212	5007988	7	8.09%	1.16%	64230560	21.0%	FL	"Miami-Fort Lauderdale-Pompano Beach, FL MSA"	South Florida or Miami metro			
5306565	4796063	8	10.64%	1.52%	69537125	22.8%	DC-VA-MD-WV	"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"	"National Capital Area, Greater Washington"	"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA"		
5278904	4248012	9	24.27%	3.47%	74816029	24.5%	GA	"Atlanta-Sandy Springs-Marietta, GA MSA"	Metro Atlanta	"Atlanta-Sandy Springs-Gainesville, GA-AL CSA"		
4482857	4392340	10	2.06%	0.29%	79298886	26.0%	MA-NH	"Boston-Cambridge-Quincy, MA-NH MSA"	Greater Boston	"Boston-Worcester-Manchester, MA-RI-NH CSA"		
4467592	4452559	11	0.34%	0.05%	83766478	27.4%	MI	"Detroit-Warren-Livonia, MI MSA"	"Metro Detroit, Southeast Michigan"	"Detroit-Warren-Flint, MI CSA"		
4203898	4123747	12	1.94%	0.28%	87970376	28.8%	CA	"San Francisco-Oakland-Fremont, CA MSA"	"Bay Area, Northern California"	"San Jose-San Francisco-Oakland, CA CSA"		
4179427	3251876	13	28.52%	4.07%	92149803	30.2%	AZ	"Phoenix-Mesa-Scottsdale, AZ MSA"	Valley of the Sun			
4081371	3254817	14	25.39%	3.63%	96231174	31.5%	CA	"Riverside-San Bernardino-Ontario, CA MSA"	Inland Empire	"Los Angeles-Long Beach-Riverside, CA CSA"		
3309347	3043885	15	8.72%	1.25%	99540521	32.6%	WA	"Seattle-Tacoma-Bellevue, WA MSA"	Seattle Metro	"Seattle-Tacoma-Olympia, WA CSA"		
3208212	2968817	16	8.06%	1.15%	102748733	33.7%	MN-WI	"Minneapolis-St. Paul-Bloomington, MN-WI MSA"	Twin Cities	"Minneapolis-St. Paul-St. Cloud, MN-WI CSA"
2974859	2813833	17	5.72%	0.82%	105723592	34.6%	CA	"San Diego-Carlsbad-San Marcos, CA MSA"	San Diego County	
2803707	2698672	18	3.89%	0.56%	108527299	35.6%	MO-IL	"St. Louis, MO-IL MSA"	Greater St. Louis	"St. Louis-St. Charles-Farmington, MO-IL CSA"
2723949	2396013	19	13.69%	1.96%	111251248	36.5%	FL	"Tampa-St. Petersburg-Clearwater, FL MSA"	Tampa Bay	
2668056	2552996	20	4.51%	0.64%	113919304	37.3%	MD	"Baltimore-Towson, MD MSA"	Baltimore Metro	"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA"
2464866	2179342	21	13.10%	1.87%	116384170	38.1%	CO	"Denver-Aurora, CO MSA"	"The Front Range,Denver Metropolitan Area, Mile-High Area"	"Denver-Aurora-Boulder, CO CSA"
2355712	2431087	22	-3.10%	-0.44%	118739882	38.9%	PA	"Pittsburgh, PA MSA"	"Greater Pittsburgh, Pittsburgh Tri-State, Metro Pittsburgh, Three Rivers Region"	"Pittsburgh-New Castle, PA CSA"
2175113	1927881	23	12.82%	1.83%	120914995	39.6%	OR-WA	"Portland-Vancouver-Beaverton, OR-WA MSA"	"Portland Metro Area, Greater Portland"	
2133678	2009654	24	6.17%	0.88%	123048673	40.3%	OH-KY-IN	"Cincinnati-Middletown, OH-KY-IN MSA"	"Greater Cincinnati, The Tri-State"	"Cincinnati-Middletown-Wilmington, OH-KY-IN CSA"
2096471	2148010	25	-2.40%	-0.34%	125145144	41.0%	OH	"Cleveland-Elyria-Mentor, OH MSA"	Greater Cleveland	"Cleveland-Akron-Elyria, OH CSA"
2091120	1796857	26	16.38%	2.34%	127236264	41.7%	CA	"Sacramento-Arden-Arcade-Roseville, CA MSA"	Greater Sacramento	"Sacramento-Arden-Arcade-Yuba City, CA-NV CSA"
2032496	1644563	27	23.59%	3.37%	129268760	42.4%	FL	"Orlando-Kissimmee, FL MSA"	"Greater Orlando, Central Florida"	"Orlando-Deltona-Daytona Beach, FL CSA"
1990675	1711721	28	16.30%	2.33%	131259435	43.0%	TX	"San Antonio, TX MSA"	Greater San Antonio	
1985429	1836423	29	8.11%	1.16%	133244864	43.7%	MO-KS	"Kansas City, MO-KS MSA"	Greater Kansas City	"Kansas City-Overland Park-Kansas City, MO-KS CSA"
1836333	1375535	30	33.50%	4.79%	135081197	44.3%	NV	"Las Vegas-Paradise, NV MSA"	"Clark County, Las Vegas Valley"	"Las Vegas-Paradise-Pahrump, NV CSA"
