st	total	bush	kerry	nader	total_precincts	precincts_reporting	county
CT	236889	154919	229902	6987			Hartford
CT	48732	35252	47292	1440			Middlesex
CT	68429	49931	66062	2367			New London
CT	40484	31245	39146	1338			Tolland
CT	206002	160390	199060	6942			New Haven
CT	26537	22324	25477	1060			Windham
CT	211362	189605	205902	5460			Fairfield
CT	46508	50160	44647	1861			Litchfield
MA	185722	54923	182592	3130			Suffolk
MA	48485	16806	47743	742			Berkshire
MA	7395	2602	7265	130			Dukes
MA	53107	21315	51680	1427			Hampshire
MA	26323	11058	25550	773			Franklin
MA	451145	237815	440862	10283			Middlesex
MA	150354	82524	147854	2500			Bristol
MA	3684	2040	3608	76			Nantucket
MA	115714	70925	113710	2004			Hampden
MA	203374	127763	199392	3982			Norfolk
MA	198119	135114	194068	4051			Essex
MA	196542	144094	192142	4400			Worcester
MA	73621	58527	72156	1465			Barnstable
MA	127694	105603	125178	2516			Plymouth
ME	31548	24519	30503	1045			Androscoggin
ME	20169	17564	19569	600			Aroostook
ME	97578	65384	94846	2732			Cumberland
ME	9883	7378	9465	418			Franklin
ME	18717	14405	18048	669			Hancock
ME	37011	29761	35616	1395			Kennebec
ME	13144	10103	12690	454			Knox
ME	11772	10370	11351	421			Lincoln
ME	17350	14196	16618	732			Oxford
ME	41794	40318	40417	1377			Penobscot
ME	4641	5299	4409	232			Piscataquis
ME	11582	9497	11107	475			Sagadahoc
ME	14155	12953	13555	600			Somerset
ME	12009	10309	11555	454			Waldo
ME	8691	8619	8391	300			Washington
ME	60507	49526	58702	1805			York
NH	24884	16463	24438	446			Cheshire
NH	26694	20277	26180	514			Grafton
NH	33456	25825	32942	514			Strafford
NH	11662	10142	11434	228			Sullivan
NH	40587	36060	39975	612			Merrimack
NH	8782	8143	8585	197			Coos
NH	95703	99724	94121	1582			Hillsborough
NH	76747	82069	75437	1310			Rockingham
NH	13608	14614	13319	289			Carroll
NH	14378	17920	14080	298			Belknap
RI	148987	82337	144811	4176			Providence
RI	14877	9855	14448	429			Bristol
RI	23804	16622	22992	812			Newport
RI	36101	26533	34679	1422			Washington
RI	44319	33699	42830	1489			Kent
VT	16036	7280	15489	547			Windham
VT	51274	26422	49369	1905			Chittenden
VT	7921	4260	7636	285			Lamoille
VT	19987	11461	19177	810			Washington
VT	19276	11491	18561	715			Windsor
VT	11502	7077	11147	355			Addison
VT	11449	7616	11069	380			Bennington
VT	2323	1754	2246	77			Grand Isle
VT	8474	6421	8159	315			Orange
VT	10984	8936	10598	386			Franklin
VT	6576	5666	6330	246			Orleans
VT	16535	14440	15904	631			Rutland
VT	7446	6765	7106	340			Caledonia
VT	1346	1591	1276	70			Essex
