

GCT-PH1: Population, Housing Units, Area, and Density:  2000
Data Set: Census 2000 Summary File 1 (SF 1) 100-Percent Data
Geographic Area: United States -- County by State, and for Puerto Rico
"NOTE:  For information on confidentiality protection, nonsampling error, definitions, and count corrections see http://factfinder.census.gov/home/en/datanotes/expsf1u.htm.
 
"
"Geographic area","
Population","
Housing
 units","
Area in square miles",,,"
Density per square
mile of land area",
,,,"
Total
area","
Water
area","
Land
area","
Population","
Housing
 units"
" "," "," "," "," "," "," "," "
"United States","281,421,906","115,904,641","3,794,083.06","256,644.62","3,537,438.44","79.6","32.8"
" "," "," "," "," "," "," "," "
"Alabama","4,447,100","1,963,711","52,419.02","1,675.01","50,744.00","87.6","38.7"
"Autauga County","43,671","17,662","604.45","8.48","595.97","73.3","29.6"
"Baldwin County","140,415","74,285","2,026.93","430.58","1,596.35","88.0","46.5"
"Barbour County","29,038","12,461","904.52","19.61","884.90","32.8","14.1"
"Bibb County","20,826","8,345","626.16","3.14","623.03","33.4","13.4"
"Blount County","51,024","21,158","650.60","5.02","645.59","79.0","32.8"
"Bullock County","11,714","4,727","626.06","1.04","625.01","18.7","7.6"
"Butler County","21,399","9,957","777.92","1.05","776.87","27.5","12.8"
"Calhoun County","112,249","51,322","612.32","3.86","608.46","184.5","84.3"
"Chambers County","36,583","16,256","603.11","5.94","597.17","61.3","27.2"
"Cherokee County","23,988","14,025","599.95","46.83","553.12","43.4","25.4"
"Chilton County","39,593","17,651","700.76","6.78","693.98","57.1","25.4"
"Choctaw County","15,922","7,839","920.85","7.34","913.51","17.4","8.6"
"Clarke County","27,867","12,631","1,252.51","14.13","1,238.38","22.5","10.2"
"Clay County","14,254","6,612","606.00","0.93","605.07","23.6","10.9"
"Cleburne County","14,123","6,189","561.02","0.81","560.21","25.2","11.0"
"Coffee County","43,615","19,837","680.48","1.49","678.99","64.2","29.2"
"Colbert County","54,984","24,980","623.61","29.08","594.53","92.5","42.0"
"Conecuh County","14,089","7,265","852.51","1.71","850.79","16.6","8.5"
"Coosa County","12,202","6,142","666.36","13.91","652.44","18.7","9.4"
"Covington County","37,631","18,578","1,043.86","10.05","1,033.82","36.4","18.0"
"Crenshaw County","13,665","6,644","610.88","1.30","609.58","22.4","10.9"
"Cullman County","77,483","35,233","754.82","16.39","738.43","104.9","47.7"
"Dale County","49,129","21,779","562.67","1.60","561.07","87.6","38.8"
"Dallas County","46,365","20,450","993.37","12.66","980.71","47.3","20.9"
"DeKalb County","64,452","28,051","778.65","0.74","777.91","82.9","36.1"
"Elmore County","65,874","25,733","657.21","35.96","621.26","106.0","41.4"
"Escambia County","38,440","16,544","952.95","5.57","947.38","40.6","17.5"
"Etowah County","103,459","45,959","548.75","13.93","534.82","193.4","85.9"
"Fayette County","18,495","8,472","629.34","1.68","627.66","29.5","13.5"
"Franklin County","31,223","13,749","646.51","10.86","635.64","49.1","21.6"
"Geneva County","25,764","12,115","578.90","2.62","576.28","44.7","21.0"
"Greene County","9,974","5,117","659.93","14.07","645.87","15.4","7.9"
"Hale County","17,185","7,756","656.47","12.74","643.74","26.7","12.0"
"Henry County","16,310","8,037","568.33","6.53","561.80","29.0","14.3"
"Houston County","88,787","39,571","581.65","1.29","580.36","153.0","68.2"
"Jackson County","53,926","24,168","1,126.77","48.02","1,078.74","50.0","22.4"
"Jefferson County","662,047","288,162","1,123.80","11.20","1,112.61","595.0","259.0"
"Lamar County","15,904","7,517","605.47","0.62","604.85","26.3","12.4"
"Lauderdale County","87,966","40,424","718.78","49.32","669.46","131.4","60.4"
"Lawrence County","34,803","15,009","718.07","24.68","693.38","50.2","21.6"
"Lee County","115,092","50,329","615.55","6.84","608.71","189.1","82.7"
"Limestone County","65,676","26,897","607.08","39.03","568.05","115.6","47.3"
"Lowndes County","13,473","5,801","725.03","7.10","717.94","18.8","8.1"
"Macon County","24,105","10,627","613.24","2.72","610.52","39.5","17.4"
"Madison County","276,700","120,288","812.85","7.93","804.92","343.8","149.4"
"Marengo County","22,539","10,127","982.85","5.80","977.04","23.1","10.4"
"Marion County","31,214","14,416","743.57","2.16","741.41","42.1","19.4"
"Marshall County","82,231","36,331","623.16","56.10","567.06","145.0","64.1"
"Mobile County","399,843","165,101","1,644.02","410.93","1,233.09","324.3","133.9"
"Monroe County","24,324","11,343","1,034.53","8.67","1,025.85","23.7","11.1"
"Montgomery County","223,510","95,437","799.76","9.99","789.76","283.0","120.8"
"Morgan County","111,064","47,388","599.06","16.84","582.21","190.8","81.4"
"Perry County","11,861","5,406","724.08","4.59","719.48","16.5","7.5"
"Pickens County","20,949","9,520","890.05","8.63","881.42","23.8","10.8"
"Pike County","29,605","13,981","672.10","1.06","671.03","44.1","20.8"
