"GEO_ID","GEO_ID2","SUMLEVEL","GEOCOMP","GEO_NAME","STATE","MSACMSA","PMSA","GCTPH1_US10.C0","GCTPH1_US10.C1","GCTPH1_US10.C2","GCTPH1_US10.C3","GCTPH1_US10.C4","GCTPH1_US10.C5","GCTPH1_US10.C6"
"Geography Identifier","Geography Identifier","Geographic Summary Level","Geographic Component","Geography","State","Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area","Primary Metropolitan Statistical Area","Population","Housing  units","Area in square miles; Total area","Area in square miles; Water area","Area in square miles; Land area","Density per square mile of land area; Population","Density per square mile of land area; Housing  units"
"01000US","","010","00","United States","","","","281421906","115904641","3794083.06","256644.62","3537438.44","79.6","32.8"
"01052US","","010","52","In metropolitan area","","","","225981679","90812960","764595.13","58805.54","705789.59","320.2","128.7"
"04000US72","72","040","00","Puerto Rico","72","","","3808610","1418476","5324.50","1899.94","3424.56","1112.1","414.2"
"04052US72","72","040","52","In metropolitan area","72","","","3211157","1198022","3366.55","1158.47","2208.09","1454.3","542.6"
"38000US0040","0040","380","00","Abilene, TX MSA","","0040","","126555","52056","919.25","3.63","915.63","138.2","56.9"
"38000US0060","0060","380","00","Aguadilla, PR MSA","72","0060","","146424","54725","171.40","53.59","117.80","1242.9","464.5"
"38000US0120","0120","380","00","Albany, GA MSA","","0120","","120822","48469","696.65","11.28","685.37","176.3","70.7"
"38000US0160","0160","380","00","Albany--Schenectady--Troy, NY MSA","","0160","","875583","386262","3288.62","66.42","3222.19","271.7","119.9"
"38000US0200","0200","380","00","Albuquerque, NM MSA","","0200","","712738","298583","5951.18","8.18","5943.00","119.9","50.2"
"38000US0220","0220","380","00","Alexandria, LA MSA","","0220","","126337","52038","1361.96","39.42","1322.54","95.5","39.3"
"38000US0240","0240","380","00","Allentown--Bethlehem--Easton, PA MSA","","0240","","637958","266112","1112.94","11.44","1101.50","579.2","241.6"
"38000US0280","0280","380","00","Altoona, PA MSA","","0280","","129144","55061","527.11","1.31","525.80","245.6","104.7"
"38000US0320","0320","380","00","Amarillo, TX MSA","","0320","","217858","87859","1844.40","20.73","1823.68","119.5","48.2"
"38000US0380","0380","380","00","Anchorage, AK MSA","","0380","","260283","100368","1961.09","263.88","1697.21","153.4","59.1"
"38000US0450","0450","380","00","Anniston, AL MSA","","0450","","112249","51322","612.32","3.86","608.46","184.5","84.3"
"38000US0460","0460","380","00","Appleton--Oshkosh--Neenah, WI MSA","","0460","","358365","143093","1620.12","221.36","1398.76","256.2","102.3"
"38000US0480","0480","380","00","Asheville, NC MSA","","0480","","225965","103695","1111.39","5.98","1105.41","204.4","93.8"
"38000US0500","0500","380","00","Athens, GA MSA","","0500","","153444","62174","593.00","2.62","590.38","259.9","105.3"
"38000US0520","0520","380","00","Atlanta, GA MSA","","0520","","4112198","1589568","6207.94","84.14","6123.80","671.5","259.6"
"38000US0580","0580","380","00","Auburn--Opelika, AL MSA","","0580","","115092","50329","615.55","6.84","608.71","189.1","82.7"
"38000US0600","0600","380","00","Augusta--Aiken, GA--SC MSA","","0600","","477441","195759","2489.52","41.14","2448.38","195.0","80.0"
"38000US0640","0640","380","00","Austin--San Marcos, TX MSA","","0640","","1249763","496004","4279.94","55.92","4224.02","295.9","117.4"
"38000US0680","0680","380","00","Bakersfield, CA MSA","","0680","","661645","231564","8161.42","20.46","8140.96","81.3","28.4"
"38000US0730","0730","380","00","Bangor, ME MSA","","0730","","90864","39189","427.44","30.11","397.33","228.7","98.6"
"38000US0740","0740","380","00","Barnstable--Yarmouth, MA MSA","","0740","","162582","106941","329.64","69.83","259.81","625.8","411.6"
"38000US0760","0760","380","00","Baton Rouge, LA MSA","","0760","","602894","242827","1679.89","93.71","1586.18","380.1","153.1"
"38000US0840","0840","380","00","Beaumont--Port Arthur, TX MSA","","0840","","385090","156697","2388.17","233.89","2154.28","178.8","72.7"
"38000US0860","0860","380","00","Bellingham, WA MSA","","0860","","166814","73893","2503.55","384.02","2119.53","78.7","34.9"
"38000US0870","0870","380","00","Benton Harbor, MI MSA","","0870","","162453","73445","1581.38","1010.39","571.00","284.5","128.6"
"38000US0880","0880","380","00","Billings, MT MSA","","0880","","129352","54563","2649.05","13.90","2635.15","49.1","20.7"
"38000US0920","0920","380","00","Biloxi--Gulfport--Pascagoula, MS MSA","","0920","","363988","152386","2571.98","787.22","1784.76","203.9","85.4"
"38000US0960","0960","380","00","Binghamton, NY MSA","","0960","","252320","110227","1238.37","12.86","1225.51","205.9","89.9"
"38000US1000","1000","380","00","Birmingham, AL MSA","","1000","","921106","395925","3237.54","50.91","3186.64","289.1","124.2"
"38000US1010","1010","380","00","Bismarck, ND MSA","","1010","","94719","39590","3613.32","53.96","3559.36","26.6","11.1"
"38000US1020","1020","380","00","Bloomington, IN MSA","","1020","","120563","50846","411.32","16.97","394.35","305.7","128.9"
"38000US1040","1040","380","00","Bloomington--Normal, IL MSA","","1040","","150433","59972","1186.29","2.76","1183.53","127.1","50.7"
"38000US1080","1080","380","00","Boise City, ID MSA","","1080","","432345","166481","1663.84","19.13","1644.71","262.9","101.2"
"38000US1122","1122","380","00","Boston--Worcester--Lawrence, MA--NH--ME--CT CMSA","","1122","","5819100","2318422","6192.51","565.39","5627.12","1034.1","412.0"
"38000US1240","1240","380","00","Brownsville--Harlingen--San Benito, TX MSA","","1240","","335227","119654","1276.33","370.58","905.76","370.1","132.1"
"38000US1260","1260","380","00","Bryan--College Station, TX MSA","","1260","","152415","59023","590.29","4.51","585.78","260.2","100.8"
"38000US1280","1280","380","00","Buffalo--Niagara Falls, NY MSA","","1280","","1170111","511583","2366.73","799.57","1567.16","746.6","326.4"
"38000US1305","1305","380","00","Burlington, VT MSA","","1305","","169391","69170","735.52","173.47","562.05","301.4","123.1"
"38000US1320","1320","380","00","Canton--Massillon, OH MSA","","1320","","406934","170040","979.92","9.11","970.81","419.2","175.2"
"38000US1350","1350","380","00","Casper, WY MSA","","1350","","66533","29882","5375.72","35.83","5339.88","12.5","5.6"
"38000US1360","1360","380","00","Cedar Rapids, IA MSA","","1360","","191701","80551","724.55","7.10","717.44","267.2","112.3"
"38000US1400","1400","380","00","Champaign--Urbana, IL MSA","","1400","","179669","75280","997.53","0.73","996.81","180.2","75.5"
"38000US1440","1440","380","00","Charleston--North Charleston, SC MSA","","1440","","549033","232985","3162.87","571.92","2590.95","211.9","89.9"
"38000US1480","1480","380","00","Charleston, WV MSA","","1480","","251662","115409","1261.39","12.06","1249.33","201.4","92.4"
"38000US1520","1520","380","00","Charlotte--Gastonia--Rock Hill, NC--SC MSA","","1520","","1499293","615923","3440.94","64.14","3376.81","444.0","182.4"
"38000US1540","1540","380","00","Charlottesville, VA MSA","","1540","","159576","65315","1183.62","6.80","1176.82","135.6","55.5"
"38000US1560","1560","380","00","Chattanooga, TN--GA MSA","","1560","","465161","200427","1871.89","48.31","1823.58","255.1","109.9"
"38000US1580","1580","380","00","Cheyenne, WY MSA","","1580","","81607","34213","2687.63","1.58","2686.05","30.4","12.7"
"38000US1602","1602","380","00","Chicago--Gary--Kenosha, IL--IN--WI CMSA","","1602","","9157540","3485845","9295.91","2368.87","6927.04","1322.0","503.2"
"38000US1620","1620","380","00","Chico--Paradise, CA MSA","","1620","","203171","85523","1677.11","37.62","1639.49","123.9","52.2"
"38000US1642","1642","380","00","Cincinnati--Hamilton, OH--KY--IN CMSA","","1642","","1979202","820756","3865.64","56.64","3809.00","519.6","215.5"
"38000US1660","1660","380","00","Clarksville--Hopkinsville, TN--KY MSA","","1660","","207033","79349","1267.85","7.26","1260.59","164.2","62.9"
"38000US1692","1692","380","00","Cleveland--Akron, OH CMSA","","1692","","2945831","1246124","6274.48","2662.52","3611.96","815.6","345.0"
"38000US1720","1720","380","00","Colorado Springs, CO MSA","","1720","","516929","202428","2129.56","3.11","2126.45","243.1","95.2"
"38000US1740","1740","380","00","Columbia, MO MSA","","1740","","135454","56678","691.31","5.88","685.43","197.6","82.7"
"38000US1760","1760","380","00","Columbia, SC MSA","","1760","","536691","220771","1529.60","73.93","1455.67","368.7","151.7"
"38000US1800","1800","380","00","Columbus, GA--AL MSA","","1800","","274624","112617","1592.48","22.44","1570.04","174.9","71.7"
"38000US1840","1840","380","00","Columbus, OH MSA","","1840","","1540157","653067","3169.24","28.00","3141.24","490.3","207.9"
"38000US1880","1880","380","00","Corpus Christi, TX MSA","","1880","","380783","147905","1873.48","346.01","1527.47","249.3","96.8"
"38000US1890","1890","380","00","Corvallis, OR MSA","","1890","","78153","31980","678.97","2.51","676.46","115.5","47.3"
"38000US1900","1900","380","00","Cumberland, MD--WV MSA","","1900","","102008","45078","758.95","5.80","753.15","135.4","59.9"
"38000US1922","1922","380","00","Dallas--Fort Worth, TX CMSA","","1922","","5221801","2031348","9469.30","365.52","9103.79","573.6","223.1"
"38000US1950","1950","380","00","Danville, VA MSA","","1950","","110156","51119","1022.11","8.29","1013.82","108.7","50.4"
"38000US1960","1960","380","00","Davenport--Moline--Rock Island, IA--IL MSA","","1960","","359062","151408","1744.93","37.03","1707.90","210.2","88.7"
"38000US2000","2000","380","00","Dayton--Springfield, OH MSA","","2000","","950558","408277","1693.34","9.88","1683.45","564.6","242.5"
"38000US2020","2020","380","00","Daytona Beach, FL MSA","","2020","","493175","236390","2003.20","414.95","1588.25","310.5","148.8"
"38000US2030","2030","380","00","Decatur, AL MSA","","2030","","145867","62397","1317.13","41.53","1275.60","114.4","48.9"
"38000US2040","2040","380","00","Decatur, IL MSA","","2040","","114706","50241","585.38","4.86","580.52","197.6","86.5"
"38000US2082","2082","380","00","Denver--Boulder--Greeley, CO CMSA","","2082","","2581506","1042779","8551.82","56.28","8495.54","303.9","122.7"
"38000US2120","2120","380","00","Des Moines, IA MSA","","2120","","456022","188265","1756.84","29.38","1727.46","264.0","109.0"
"38000US2162","2162","380","00","Detroit--Ann Arbor--Flint, MI CMSA","","2162","","5456428","2208124","7048.34","483.08","6565.26","831.1","336.3"
"38000US2180","2180","380","00","Dothan, AL MSA","","2180","","137916","61350","1144.33","2.90","1141.43","120.8","53.7"
"38000US2190","2190","380","00","Dover, DE MSA","","2190","","126697","50481","800.12","210.40","589.72","214.8","85.6"
"38000US2200","2200","380","00","Dubuque, IA MSA","","2200","","89143","35505","616.56","8.41","608.16","146.6","58.4"
"38000US2240","2240","380","00","Duluth--Superior, MN--WI MSA","","2240","","243815","116156","8339.83","805.53","7534.30","32.4","15.4"
"38000US2290","2290","380","00","Eau Claire, WI MSA","","2290","","148337","60295","1686.60","38.53","1648.07","90.0","36.6"
"38000US2320","2320","380","00","El Paso, TX MSA","","2320","","679622","224447","1014.68","1.57","1013.11","670.8","221.5"
"38000US2330","2330","380","00","Elkhart--Goshen, IN MSA","","2330","","182791","69791","467.85","4.03","463.81","394.1","150.5"
"38000US2335","2335","380","00","Elmira, NY MSA","","2335","","91070","37745","410.79","2.62","408.17","223.1","92.5"
"38000US2340","2340","380","00","Enid, OK MSA","","2340","","57813","26047","1059.94","1.55","1058.39","54.6","24.6"
"38000US2360","2360","380","00","Erie, PA MSA","","2360","","280843","114322","1558.40","756.46","801.95","350.2","142.6"
"38000US2400","2400","380","00","Eugene--Springfield, OR MSA","","2400","","322959","138946","4721.79","167.79","4554.00","70.9","30.5"
"38000US2440","2440","380","00","Evansville--Henderson, IN--KY MSA","","2440","","296195","127388","1513.28","46.01","1467.27","201.9","86.8"
"38000US2520","2520","380","00","Fargo--Moorhead, ND--MN MSA","","2520","","174367","73536","2820.64","10.17","2810.47","62.0","26.2"
"38000US2560","2560","380","00","Fayetteville, NC MSA","","2560","","302963","118425","658.46","5.74","652.72","464.2","181.4"
"38000US2580","2580","380","00","Fayetteville--Springdale--Rogers, AR MSA","","2580","","311121","128611","1836.25","40.54","1795.71","173.3","71.6"
"38000US2620","2620","380","00","Flagstaff, AZ--UT MSA","","2620","","122366","57210","22769.63","160.25","22609.38","5.4","2.5"
"38000US2650","2650","380","00","Florence, AL MSA","","2650","","142950","65404","1342.39","78.40","1263.99","113.1","51.7"
"38000US2655","2655","380","00","Florence, SC MSA","","2655","","125761","51836","803.74","3.90","799.84","157.2","64.8"
"38000US2670","2670","380","00","Fort Collins--Loveland, CO MSA","","2670","","251494","105392","2633.86","32.56","2601.30","96.7","40.5"
"38000US2700","2700","380","00","Fort Myers--Cape Coral, FL MSA","","2700","","440888","245405","1211.89","408.26","803.63","548.6","305.4"
"38000US2710","2710","380","00","Fort Pierce--Port St. Lucie, FL MSA","","2710","","319426","156733","1440.87","312.81","1128.06","283.2","138.9"
"38000US2720","2720","380","00","Fort Smith, AR--OK MSA","","2720","","207290","87566","1865.11","59.66","1805.45","114.8","48.5"
"38000US2750","2750","380","00","Fort Walton Beach, FL MSA","","2750","","170498","78593","1082.00","146.37","935.63","182.2","84.0"
"38000US2760","2760","380","00","Fort Wayne, IN MSA","","2760","","502141","206237","2460.13","12.57","2447.56","205.2","84.3"
"38000US2840","2840","380","00","Fresno, CA MSA","","2840","","922516","311154","8170.74","72.16","8098.59","113.9","38.4"
"38000US2880","2880","380","00","Gadsden, AL MSA","","2880","","103459","45959","548.75","13.93","534.82","193.4","85.9"
"38000US2900","2900","380","00","Gainesville, FL MSA","","2900","","217955","95113","969.12","94.88","874.25","249.3","108.8"
"38000US2975","2975","380","00","Glens Falls, NY MSA","","2975","","124345","61646","1777.50","72.77","1704.73","72.9","36.2"
"38000US2980","2980","380","00","Goldsboro, NC MSA","","2980","","113329","47313","556.69","4.12","552.57","205.1","85.6"
"38000US2985","2985","380","00","Grand Forks, ND--MN MSA","","2985","","97478","41381","3437.64","29.46","3408.18","28.6","12.1"
"38000US2995","2995","380","00","Grand Junction, CO MSA","","2995","","116255","48427","3341.11","13.36","3327.75","34.9","14.6"
"38000US3000","3000","380","00","Grand Rapids--Muskegon--Holland, MI MSA","","3000","","1088514","422704","5796.75","3038.34","2758.41","394.6","153.2"
"38000US3040","3040","380","00","Great Falls, MT MSA","","3040","","80357","35225","2711.65","13.75","2697.90","29.8","13.1"
"38000US3080","3080","380","00","Green Bay, WI MSA","","3080","","226778","90199","615.42","86.75","528.68","429.0","170.6"
"38000US3120","3120","380","00","Greensboro--Winston-Salem--High Point, NC MSA","","3120","","1251509","535837","3922.35","41.26","3881.09","322.5","138.1"
"38000US3150","3150","380","00","Greenville, NC MSA","","3150","","133798","58408","654.77","3.19","651.58","205.3","89.6"
"38000US3160","3160","380","00","Greenville--Spartanburg--Anderson, SC MSA","","3160","","962441","411402","3280.69","72.08","3208.61","300.0","128.2"
"38000US3240","3240","380","00","Harrisburg--Lebanon--Carlisle, PA MSA","","3240","","629401","266345","2027.04","36.21","1990.83","316.2","133.8"
"38000US3280","3280","380","00","Hartford, CT MSA","","3280","","1183110","482572","1716.40","39.21","1677.19","705.4","287.7"
"38000US3285","3285","380","00","Hattiesburg, MS MSA","","3285","","111674","45346","970.66","7.01","963.64","115.9","47.1"
"38000US3290","3290","380","00","Hickory--Morganton--Lenoir, NC MSA","","3290","","341851","144874","1665.83","27.36","1638.48","208.6","88.4"
"38000US3320","3320","380","00","Honolulu, HI MSA","","3320","","876156","315988","2126.85","1527.08","599.77","1460.8","526.9"
"38000US3350","3350","380","00","Houma, LA MSA","","3350","","194477","74973","3552.09","1212.48","2339.61","83.1","32.0"
"38000US3362","3362","380","00","Houston--Galveston--Brazoria, TX CMSA","","3362","","4669571","1777902","8777.63","1072.64","7704.99","606.0","230.7"
"38000US3400","3400","380","00","Huntington--Ashland, WV--KY--OH MSA","","3400","","315538","141398","2185.97","26.75","2159.22","146.1","65.5"
"38000US3440","3440","380","00","Huntsville, AL MSA","","3440","","342376","147185","1419.93","46.96","1372.97","249.4","107.2"
"38000US3480","3480","380","00","Indianapolis, IN MSA","","3480","","1607486","681144","3541.62","18.62","3522.99","456.3","193.3"
"38000US3500","3500","380","00","Iowa City, IA MSA","","3500","","111006","45831","623.35","8.87","614.48","180.7","74.6"
"38000US3520","3520","380","00","Jackson, MI MSA","","3520","","158422","62906","723.76","17.17","706.60","224.2","89.0"
"38000US3560","3560","380","00","Jackson, MS MSA","","3560","","440801","174138","2425.40","64.59","2360.81","186.7","73.8"
"38000US3580","3580","380","00","Jackson, TN MSA","","3580","","107377","44383","847.37","1.86","845.52","127.0","52.5"
"38000US3600","3600","380","00","Jacksonville, FL MSA","","3600","","1100491","467451","3109.22","473.88","2635.34","417.6","177.4"
"38000US3605","3605","380","00","Jacksonville, NC MSA","","3605","","150355","55726","908.56","141.74","766.82","196.1","72.7"
"38000US3610","3610","380","00","Jamestown, NY MSA","","3610","","139750","64900","1500.02","437.97","1062.05","131.6","61.1"
"38000US3620","3620","380","00","Janesville--Beloit, WI MSA","","3620","","152307","62187","726.20","5.73","720.47","211.4","86.3"
"38000US3660","3660","380","00","Johnson City--Kingsport--Bristol, TN--VA MSA","","3660","","480091","218190","2911.00","45.49","2865.51","167.5","76.1"
"38000US3680","3680","380","00","Johnstown, PA MSA","","3680","","232621","102959","1774.60","11.92","1762.68","132.0","58.4"
"38000US3700","3700","380","00","Jonesboro, AR MSA","","3700","","82148","35133","712.98","2.14","710.84","115.6","49.4"
"38000US3710","3710","380","00","Joplin, MO MSA","","3710","","157322","67468","1267.98","1.83","1266.15","124.3","53.3"
"38000US3720","3720","380","00","Kalamazoo--Battle Creek, MI MSA","","3720","","452851","191916","2388.81","507.37","1881.44","240.7","102.0"
"38000US3760","3760","380","00","Kansas City, MO--KS MSA","","3760","","1776062","740884","5485.39","79.18","5406.21","328.5","137.0"
"38000US3810","3810","380","00","Killeen--Temple, TX MSA","","3810","","312952","114558","2144.66","33.18","2111.48","148.2","54.3"
"38000US3840","3840","380","00","Knoxville, TN MSA","","3840","","687249","313394","2529.42","80.16","2449.26","280.6","128.0"
"38000US3850","3850","380","00","Kokomo, IN MSA","","3850","","101541","44452","554.34","0.88","553.45","183.5","80.3"
"38000US3870","3870","380","00","La Crosse, WI--MN MSA","","3870","","126838","51647","1048.82","37.67","1011.15","125.4","51.1"
"38000US3880","3880","380","00","Lafayette, LA MSA","","3880","","385647","157792","2683.19","89.57","2593.62","148.7","60.8"
"38000US3920","3920","380","00","Lafayette, IN MSA","","3920","","182821","71610","908.35","3.46","904.89","202.0","79.1"
"38000US3960","3960","380","00","Lake Charles, LA MSA","","3960","","183577","75995","1094.34","23.22","1071.12","171.4","70.9"
"38000US3980","3980","380","00","Lakeland--Winter Haven, FL MSA","","3980","","483924","226376","2009.99","135.60","1874.38","258.2","120.8"
"38000US4000","4000","380","00","Lancaster, PA MSA","","4000","","470658","179990","983.81","34.75","949.06","495.9","189.7"
"38000US4040","4040","380","00","Lansing--East Lansing, MI MSA","","4040","","447728","181804","1714.53","7.48","1707.06","262.3","106.5"
"38000US4080","4080","380","00","Laredo, TX MSA","","4080","","193117","55206","3375.53","18.69","3356.83","57.5","16.4"
"38000US4100","4100","380","00","Las Cruces, NM MSA","","4100","","174682","65210","3814.62","7.44","3807.18","45.9","17.1"
"38000US4120","4120","380","00","Las Vegas, NV--AZ MSA","","4120","","1563282","655795","39719.10","350.46","39368.64","39.7","16.7"
"38000US4150","4150","380","00","Lawrence, KS MSA","","4150","","99962","40250","474.47","17.60","456.87","218.8","88.1"
"38000US4200","4200","380","00","Lawton, OK MSA","","4200","","114996","45416","1083.82","14.48","1069.35","107.5","42.5"
"38000US4240","4240","380","00","Lewiston--Auburn, ME MSA","","4240","","90830","40455","325.32","20.69","304.64","298.2","132.8"
"38000US4280","4280","380","00","Lexington, KY MSA","","4280","","479198","204857","1927.17","7.70","1919.47","249.7","106.7"
"38000US4320","4320","380","00","Lima, OH MSA","","4320","","155084","62715","808.60","2.92","805.68","192.5","77.8"
"38000US4360","4360","380","00","Lincoln, NE MSA","","4360","","250291","104217","846.71","7.83","838.88","298.4","124.2"
"38000US4400","4400","380","00","Little Rock--North Little Rock, AR MSA","","4400","","583845","250255","3004.75","97.12","2907.62","200.8","86.1"
"38000US4420","4420","380","00","Longview--Marshall, TX MSA","","4420","","208780","87550","1784.13","23.75","1760.38","118.6","49.7"
"38000US4472","4472","380","00","Los Angeles--Riverside--Orange County, CA CMSA","","4472","","16373645","5678148","35316.94","1361.50","33955.44","482.2","167.2"
"38000US4520","4520","380","00","Louisville, KY--IN MSA","","4520","","1025598","438235","2099.44","27.44","2071.99","495.0","211.5"
"38000US4600","4600","380","00","Lubbock, TX MSA","","4600","","242628","100595","900.70","1.20","899.49","269.7","111.8"
"38000US4640","4640","380","00","Lynchburg, VA MSA","","4640","","214911","92229","1811.95","21.51","1790.44","120.0","51.5"
"38000US4680","4680","380","00","Macon, GA MSA","","4680","","322549","134359","1544.75","12.94","1531.81","210.6","87.7"
"38000US4720","4720","380","00","Madison, WI MSA","","4720","","426526","180398","1238.32","36.42","1201.89","354.9","150.1"
"38000US4800","4800","380","00","Mansfield, OH MSA","","4800","","175818","73240","903.16","4.17","898.99","195.6","81.5"
"38000US4840","4840","380","00","Mayagüez, PR MSA","72","4840","","253347","104009","598.12","309.14","288.98","876.7","359.9"
"38000US4880","4880","380","00","McAllen--Edinburg--Mission, TX MSA","","4880","","569463","192658","1582.66","12.92","1569.75","362.8","122.7"
"38000US4890","4890","380","00","Medford--Ashland, OR MSA","","4890","","181269","75737","2801.77","16.57","2785.19","65.1","27.2"
"38000US4900","4900","380","00","Melbourne--Titusville--Palm Bay, FL MSA","","4900","","476230","222072","1556.95","538.76","1018.19","467.7","218.1"
"38000US4920","4920","380","00","Memphis, TN--AR--MS MSA","","4920","","1135614","454534","3098.04","91.61","3006.43","377.7","151.2"
"38000US4940","4940","380","00","Merced, CA MSA","","4940","","210554","68373","1971.87","43.18","1928.69","109.2","35.5"
"38000US4992","4992","380","00","Miami--Fort Lauderdale, FL CMSA","","4992","","3876380","1593321","3750.89","599.43","3151.46","1230.0","505.6"
"38000US5082","5082","380","00","Milwaukee--Racine, WI CMSA","","5082","","1689572","692962","4114.17","2321.18","1792.99","942.3","386.5"
"38000US5120","5120","380","00","Minneapolis--St. Paul, MN--WI MSA","","5120","","2968806","1169775","6364.12","301.05","6063.07","489.7","192.9"
"38000US5140","5140","380","00","Missoula, MT MSA","","5140","","95802","41319","2618.34","20.37","2597.97","36.9","15.9"
"38000US5160","5160","380","00","Mobile, AL MSA","","5160","","540258","239386","3670.95","841.51","2829.44","190.9","84.6"
"38000US5170","5170","380","00","Modesto, CA MSA","","5170","","446997","150807","1514.67","20.88","1493.79","299.2","101.0"
"38000US5200","5200","380","00","Monroe, LA MSA","","5200","","147250","60154","632.70","22.17","610.53","241.2","98.5"
"38000US5240","5240","380","00","Montgomery, AL MSA","","5240","","333055","138832","2061.41","54.43","2006.99","165.9","69.2"
"38000US5280","5280","380","00","Muncie, IN MSA","","5280","","118769","51032","395.92","2.63","393.29","302.0","129.8"
"38000US5330","5330","380","00","Myrtle Beach, SC MSA","","5330","","196629","122085","1254.96","121.28","1133.68","173.4","107.7"
"38000US5345","5345","380","00","Naples, FL MSA","","5345","","251377","144536","2304.93","279.59","2025.34","124.1","71.4"
"38000US5360","5360","380","00","Nashville, TN MSA","","5360","","1231311","509293","4135.08","62.35","4072.73","302.3","125.0"
"38000US5520","5520","380","00","New London--Norwich, CT--RI MSA","","5520","","293566","127566","782.43","120.18","662.24","443.3","192.6"
"38000US5560","5560","380","00","New Orleans, LA MSA","","5560","","1337726","556234","7354.78","3955.29","3399.49","393.5","163.6"
"38000US5602","5602","380","00","New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA","","5602","","21199865","8213523","13117.93","2668.07","10449.86","2028.7","786.0"
"38000US5720","5720","380","00","Norfolk--Virginia Beach--Newport News, VA--NC MSA","","5720","","1569541","619335","3586.20","1237.71","2348.49","668.3","263.7"
"38000US5790","5790","380","00","Ocala, FL MSA","","5790","","258916","122663","1663.01","84.15","1578.86","164.0","77.7"
"38000US5800","5800","380","00","Odessa--Midland, TX MSA","","5800","","237132","97560","1803.65","2.34","1801.31","131.6","54.2"
"38000US5880","5880","380","00","Oklahoma City, OK MSA","","5880","","1083346","466230","4304.13","57.39","4246.74","255.1","109.8"
"38000US5920","5920","380","00","Omaha, NE--IA MSA","","5920","","716998","291001","2506.79","31.36","2475.43","289.6","117.6"
"38000US5960","5960","380","00","Orlando, FL MSA","","5960","","1644561","683551","4011.81","521.11","3490.71","471.1","195.8"
"38000US5990","5990","380","00","Owensboro, KY MSA","","5990","","91545","38432","476.27","13.88","462.39","198.0","83.1"
"38000US6015","6015","380","00","Panama City, FL MSA","","6015","","148217","78435","1033.27","269.60","763.68","194.1","102.7"
"38000US6020","6020","380","00","Parkersburg--Marietta, WV--OH MSA","","6020","","151237","67545","1017.09","14.65","1002.44","150.9","67.4"
"38000US6080","6080","380","00","Pensacola, FL MSA","","6080","","412153","173766","2049.14","369.86","1679.28","245.4","103.5"
"38000US6120","6120","380","00","Peoria--Pekin, IL MSA","","6120","","347387","144664","1831.52","35.19","1796.33","193.4","80.5"
"38000US6162","6162","380","00","Philadelphia--Wilmington--Atlantic City, PA--NJ--DE--MD CMSA","","6162","","6188463","2539825","6838.95","903.76","5935.19","1042.7","427.9"
