user            latitude        longitude
infochimps      -74.0262        40.2
mrflip  71.1041 41.7114
dhruvbansal     -73.4533        41.3905
thedatachef     -73.9116        42.8000
doncarlo        72.7084 41.7687
infochimps      75.0262        40.2
mrflip  76.1041 41.7114
dhruvbansal     83.4533        41.3905
thedatachef     23.9116        42.8000
doncarlo        92.7084 41.7687
infochimps      14.0262        40.2
mrflip  71.1041 35.7114
dhruvbansal     13.4533        41.3905
thedatachef     -53.9116        42.8000
doncarlo        -72.7084 21.7687
