"multiplicity","name","GROUP_CONCAT(dd.id)"
1369,"statistics","270,270,316,316,399,399,399,399,426,427,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,521,528,579,620,620,640,640,641,642,680,690,690,690,698,698,739,779,779,779,787,789,796,797,797,819,827,915,915,915,915,915,915,915,915,942,942,942,952,952,952,953,1057,1087,1088,1088,1139,1159,1159,1160,1160,1161,1161,1178,1187,1229,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1233,1272,1272,1293,1293,1293,1347,1366,1366,1379,1384,1447,1484,1509,1516,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1619,1619,1636,1642,1642,1642,1642,1643,1643,1694,1694,1696,1859,1859,1913,1913,1914,1923,1923,1923,1934,1934,1938,1938,1938,1938,1938,1971,1972,1986,1995,1995,1995,1995,2016,2018,2049,2164,2164,2164,2177,2214,2249,2256,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2311,2314,2314,2340,2381,2381,2382,2383,2405,2406,2407,2407,2407,240"
1223,"data","262,316,398,399,399,399,399,399,423,425,428,479,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,524,526,526,528,561,620,620,621,640,640,641,642,698,698,745,773,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,797,797,815,818,828,829,833,892,915,915,915,915,915,915,915,915,942,942,942,983,1059,1088,1138,1139,1140,1153,1154,1159,1159,1160,1160,1161,1161,1178,1178,1200,1200,1201,1229,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1232,1272,1293,1293,1293,1366,1431,1440,1484,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1619,1637,1637,1642,1642,1642,1642,1642,1642,1642,1642,1642,1643,1643,1643,1643,1694,1696,1696,1696,1696,1696,1696,1696,1724,1725,1738,1807,1825,1842,1859,1859,1913,1913,1914,1915,1916,1917,1918,1923,1923,1923,1925,1934,1934,1938,1938,1971,1972,1986,1986,1986,1986,1995,1995,1995,1995,1995,1995,1995,1995,1995,1"

525,"reference","270,270,270,526,528,574,620,620,621,640,641,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,686,698,698,827,833,892,991,1057,1088,1154,1272,1447,1447,1447,1642,1643,1694,1696,1738,1857,1857,1857,1859,1923,1923,1934,1934,1986,1986,1986,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,2164,2249,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2381,2381,2381,2382,2382,2383,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2468,2506,2506,2545,2545,2545,2545,2546,2550,2550,2551,2551,2551,2551,2551,2551,2551,2551,2551,2552,2552,2552,2552,2552,2552,2557,2557,2558,2558,2558,2558,2558,2558,2558,2562,2562,2567,2568,2586,2598,2600,2600,2600,2600,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2607,2608,2620,2620,2620,2620,2620,2622,2625,2633,2634,2636,2638,2638,2638,2638,2641,2646,2664,2665,2666,2667,2668,2685,2690,2692,2692,2692,2734,2738,2738,2742,2742,2"
515,"tools","482,501,528,561,561,561,561,561,561,561,561,640,642,680,680,686,686,686,686,686,686,686,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,745,747,773,773,787,833,972,986,1200,1232,1232,1237,1266,1272,1272,1293,1293,1366,1384,1516,1593,1593,1593,1593,1637,1637,1637,1637,1643,1696,1696,1696,1696,1696,1726,1857,1923,1923,1923,1923,1923,1938,1938,1938,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,2016,2018,2111,2111,2111,2111,2164,2179,2263,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2299,2382,2407,2407,2407,2407,2407,2407,2407,2422,2553,2553,2553,2553,2553,2553,2553,2553,2553,2553,2593,2593,2597,2599,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2608,2615,2617,2618,2622,2634,2634,2634,2634,2634,2634,2634,2634,2634,2634,2639,2642,2644,2646,2721,2738,2751,2755,2755,2777,2779,2802,2936,2948,2948,2948,2948,2948,2948,2948,2948,2948,2958,2958,2959,2959"

514,"research","482,482,482,482,482,482,482,482,482,551,620,640,640,641,686,686,686,686,686,686,686,690,690,690,690,698,698,779,787,789,829,892,1153,1159,1159,1160,1160,1161,1161,1178,1187,1272,1340,1366,1516,1618,1619,1642,1642,1642,1642,1642,1643,1643,1696,1696,1738,1857,1914,1923,1925,1934,1934,1971,1972,1986,1995,1995,2164,2164,2273,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2311,2381,2381,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2470,2546,2548,2550,2551,2551,2551,2551,2551,2551,2551,2551,2551,2551,2551,2552,2552,2552,2552,2552,2552,2552,2552,2552,2556,2559,2560,2560,2561,2562,2562,2563,2564,2568,2573,2577,2578,2579,2587,2588,2589,2598,2598,2598,2598,2598,2598,2598,2598,2598,2598,2598,2598,2598,2599,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2601,2603,2604,2608,2614,2614,2615,2620,2620,2620,2620,2620,2620,2620,2622,2622,2624,2625,2631,2631,2631,2634,2634,2634,2636,2637,2638,2641,2646,2647,2665,2668,2668,2668,2669,2670,2671,2672,2"
382,"Database","204,316,345,501,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,574,629,640,686,686,686,708,747,747,787,788,833,833,972,991,1138,1178,1200,1220,1233,1237,1266,1339,1347,1435,1444,1492,1547,1642,1642,1642,1642,1642,1643,1643,1643,1643,1738,1857,1857,1857,1857,1857,1857,1857,1857,1857,1857,1859,1876,1889,1986,1986,2049,2111,2111,2171,2172,2249,2299,2299,2381,2381,2381,2381,2381,2382,2382,2382,2382,2382,2407,2407,2407,2407,2407,2407,2422,2423,2444,2445,2528,2545,2545,2545,2546,2551,2557,2567,2567,2569,2569,2574,2576,2585,2598,2598,2598,2598,2598,2598,2598,2598,2598,2598,2598,2598,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2620,2638,2648,2649,2650,2651,2652,2653,2654,2655,2656,2657,2658,2659,2660,2661,2662,2663,2664,2666,2667,2668,2685,2685,2690,2690,2691,2716,2718,2727,2730,2734,2738,2739,2740,2741,2742,2742,2742,2742,2742,2742,2743,2744,2745,2746,2748,2754,2754,2756,2774,2779,2779,2802,2805,2811,2908,2908,2910,2928,2929,2966,2971,2982,2984,2984,2984,2984,2984,2"

268,"stats","398,399,482,521,551,659,660,690,690,698,698,827,915,1232,1485,1593,1636,1642,1696,1913,1913,1923,1934,1934,2027,2187,2249,2273,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2405,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2551,2551,2551,2551,2551,2551,2552,2553,2553,2553,2553,2553,2553,2553,2561,2564,2567,2582,2596,2597,2598,2598,2599,2600,2600,2600,2600,2601,2602,2603,2604,2604,2604,2604,2604,2604,2604,2605,2606,2607,2608,2609,2610,2611,2612,2613,2614,2615,2616,2617,2618,2619,2620,2620,2620,2620,2620,2620,2621,2622,2622,2623,2624,2625,2626,2627,2628,2629,2630,2631,2632,2633,2634,2634,2635,2636,2637,2638,2638,2639,2640,2641,2642,2643,2644,2645,2646,2647,2690,2691,2692,2738,2742,2742,2774,2810,2811,2959,2966,2970,2970,2970,2970,2970,2970,2970,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,2985,3016,3039,3083,3099,3125,3125,3152,3152,3152,3152,3152,3152,3198,3198,3198,3204,3206,3206,3225,3231,3231,3231,3231,3241,3256,3290,3290,3290,3290,3290,3290,3290,3290,3290,32"
