Jerry Seinfeld            	@jerry
George Costanza           	@costanza81
Cosmo Kramer              	@kramer
Elaine Benes              	@ElaineBenes
Robert Wagner             	@RobertWagner
Bubble Boy                	@bubble_boy
Cushman                   	@cushman
Dean Jones                	@dean_jones
Bernie Williams           	@guitarbern
Derek Jeter               	@intangibles
Ronnie                    	@ronnie
Abby                      	@thementee
Avis Rent-A-Car           	@AvisRental
Jon Voigt                 	@jonvoight
Newman                    	@newman
Frank Costanza            	@FRANKCOSTANZA
Susan Ross                	@SusanRoss
Morty Seinfeld            	
Helen Seinfeld            	
J. Peterman               	
George Steinbrenner       	@bigstein
Uncle Leo                 	
David Puddy               	@puddy
Mr. Wilhelm               	
Mr. Lippman               	
Justin Pitt               	
Mickey Abbott             	
Russell Dalrymple         	
Dugan                     	
Kenny Bania               	@bania
Jackie Chiles             	
Larry the Cook            	
"Crazy" Joe Davola        	
Dr. Tim Whatley           	
Mr. and Mrs. Ross         	
Carol                     	
Ruthie Cohen              	
Peggy                     	
The Soup Nazi             	
Nana                      	
Dolores                   	
Donald Sanger             	
Noreen                    	
Lloyd Braun               	
Jack Klompus              	
Babu Bhatt                	
Babs Kramer               	
Bob Cobb                  	
Poppie                    	
Marla the Virgin          	
Izzy Mandelbaum           	
The Drake                 	
Leslie                    	
Joe Mayo                  	
Alec Berg                 	
Sue Ellen Mischke         	
Ping                      	
Joe Temple                	
Remy Temple               	
Lindsay Enright           	
Jake Jarmel               	
Mr. Kruger                	
Sally Weaver              	
Wyck Thayer               	
Franklin Delano Romanowski	
Sal Bass                  	
Bob                       	
Mabel Choate              	
Ricky                     	
Allison                   	
Tia Van Camp              	
The Doctor              	
Sid                       	
Earl Haffler              	
Ramon:                    	
Mike Moffit               	
Rebecca DeMornay          	
Lt. Bookman               	
Matthew:                  	
Rachel Goldstein          	
Tina Robbins              	
Deena                     	
Cousin Jeffrey            	
Bob Sacamano              	
Lomez                     	
Jay Riemenschneider       	
Corky Ramirez             	
Jerry's Sister            	
George's Brother          	
Elaine's sister           	
Len Nicademo              	
Specter                   	
Simons                    	
Aunt Sylvia               	
Sharon Besser             	
Jerry "Pachyderm" Persheck	
Eduardo Corrochio         	
Whitey                    	
Art Vandelay              	
Kel Varnsen               	
H.E. Pennypacker          	
Martin van Nostrand       	
Wanda Pepper              	
The Susie                 	
Sid Fields                	
Alton Benes               	
Artie Levine              	
Ben Cantwell              	
Ron                       	
Betsy                     	
Brody                     	
Meryl                     	
Magnus aka Vegetable Lasagna 	
Miss Rhode Island         	
Hal Kitzmiller            	
Henry Atkins              	
John Grossbard            	
John Germaine             	
Milos                     	
Donna Chang               	
Jean-Paul Jean-Paul       	
Pam                       	
The Doorman               	
Stan, the Caddy           	
Fragile Frankie Merman    	
Ned Isakoff               	
Sharon                    	
Kevin Vargas              	
Gene Vargas               	
Feldman Vargas             	
Geoffrey Haarwood         	
Sheila                    	
The Pig Man               	
Dr Cooperman aka The Assman	@assman
Denim Vest                	
Shaky the Mohel           	
Manya                     	
Uncle Mac                 	
The Mechanic              	
Tor Eckman                	
Jimmy                     	
Jason "Stanky" Hanke      	
Melissa                   	
Joel Rifkin               	
Raymond                   	
Roy the Dentist           	
The Maître d'             	
Darryl                    	
Evie                      	
Sylvio                    	
Marcelino                 	
Phil                      	
Claire the Waitress       	
Carl Farbman              	
Jack The Wiz              	
Eddie Sherman             	
Alex                      	
Victoria                  	
Gavin                     	
Mary Anne                 	
Norman Brenner            	
Barry                     	
Farfel                    	
Little Jerry Seinfeld     	
Ralph                     	
Rusty                     	
Smuckers                  	
