batch	           iter	elapsed		  rec/s	time	                         	batch size
140	          20000	  44.80	sec	 446.44	/sec	Sun Jun 13 02:30:52 UTC 2010	     50
70	          20000	  45.92	sec	 435.52	/sec	Sun Jun 13 02:32:04 UTC 2010	    100
28	          20000	  61.01	sec	 327.80	/sec	Sun Jun 13 02:33:50 UTC 2010	    250
1163	          20000	  50.11	sec	 399.15	/sec	Sun Jun 13 02:35:13 UTC 2010	      6
233	          20000	  61.49	sec	 325.24	/sec	Sun Jun 13 02:36:38 UTC 2010	     30
167	          20000	  62.05	sec	 322.33	/sec	Sun Jun 13 02:38:11 UTC 2010	     42
78	          20000	  51.47	sec	 388.61	/sec	Sun Jun 13 02:39:29 UTC 2010	     90
140	          20000	  50.71	sec	 394.39	/sec	Sun Jun 13 02:41:21 UTC 2010	     50
117	          20000	  45.82	sec	 436.53	/sec	Sun Jun 13 02:43:31 UTC 2010	     60
70	          20000	  63.14	sec	 316.76	/sec	Sun Jun 13 02:45:08 UTC 2010	    100
70	          20000	  59.90	sec	 333.89	/sec	Sun Jun 13 02:46:53 UTC 2010	    100
117	          20000	  49.37	sec	 405.13	/sec	Sun Jun 13 02:48:08 UTC 2010	     60
93	          20000	  51.40	sec	 389.08	/sec	Sun Jun 13 02:49:39 UTC 2010	     75
155	          20000	  50.09	sec	 399.27	/sec	Sun Jun 13 02:51:43 UTC 2010	     45
137	          20000	  48.67	sec	 410.89	/sec	Sun Jun 13 02:52:57 UTC 2010	     51
140	          20000	  60.88	sec	 328.54	/sec	Sun Jun 13 03:03:01 UTC 2010	     50
140	          20000	  50.26	sec	 397.92	/sec	Sun Jun 13 03:05:02 UTC 2010	     50
167	          20000	  56.95	sec	 351.20	/sec	Sun Jun 13 03:07:55 UTC 2010	     42
140	          20000	  60.88	sec	 328.54	/sec	Sun Jun 13 03:03:01 UTC 2010	     50
140	          20000	  60.88	sec	 328.54	/sec	Sun Jun 13 03:03:01 UTC 2010	     50
140	          20000	  50.26	sec	 397.92	/sec	Sun Jun 13 03:05:02 UTC 2010	     50
140	          20000	  50.26	sec	 397.92	/sec	Sun Jun 13 03:05:02 UTC 2010	     50
84	          10000	  28.41	sec	 352.03	/sec	Sun Jun 13 03:07:27 UTC 2010	     42
84	          10000	  28.41	sec	 352.03	/sec	Sun Jun 13 03:07:27 UTC 2010	     42
167	          20000	  56.95	sec	 351.20	/sec	Sun Jun 13 03:07:55 UTC 2010	     42
167	          20000	  56.95	sec	 351.20	/sec	Sun Jun 13 03:07:55 UTC 2010	     42
88	          20000	  58.37	sec	 342.66	/sec	Sun Jun 13 03:10:58 UTC 2010	     80
100	          20000	  62.58	sec	 319.61	/sec	Sun Jun 13 03:12:10 UTC 2010	     70
64	          20000	  58.11	sec	 344.19	/sec	Sun Jun 13 03:13:18 UTC 2010	    110
50	          20000	  62.26	sec	 321.21	/sec	Sun Jun 13 03:14:30 UTC 2010	    140
35	          20000	  53.80	sec	 371.74	/sec	Sun Jun 13 03:15:34 UTC 2010	    200
14	          20000	  52.40	sec	 381.70	/sec	Sun Jun 13 03:16:37 UTC 2010	    500
175	          20000	  50.08	sec	 399.34	/sec	Sun Jun 13 03:17:38 UTC 2010	     40
233	          20000	  43.98	sec	 454.78	/sec	Sun Jun 13 03:18:30 UTC 2010	     30
18	          20000	  54.89	sec	 364.37	/sec	Sun Jun 13 03:19:33 UTC 2010	    400
2325	          20000	  47.69	sec	 419.35	/sec	Sun Jun 13 03:20:30 UTC 2010	      3
279	          20000	  50.68	sec	 394.62	/sec	Sun Jun 13 03:21:28 UTC 2010	     25
117	          20000	  52.99	sec	 377.45	/sec	Sun Jun 13 03:22:32 UTC 2010	     60
106	          20000	  48.94	sec	 408.70	/sec	Sun Jun 13 03:23:31 UTC 2010	     66
100	          20000	  51.60	sec	 387.56	/sec	Sun Jun 13 03:24:31 UTC 2010	     70
93	          20000	  45.10	sec	 443.49	/sec	Sun Jun 13 03:25:24 UTC 2010	     75
167	          20000	  49.54	sec	 403.72	/sec	Sun Jun 13 03:44:21 UTC 2010	     42
146	          20000	  52.04	sec	 384.35	/sec	Sun Jun 13 03:45:21 UTC 2010	     48
103	          20000	  51.31	sec	 389.78	/sec	Sun Jun 13 03:46:20 UTC 2010	     68
159	          20000	  61.06	sec	 327.56	/sec	Sun Jun 13 03:47:30 UTC 2010	     44
33	          20000	  65.03	sec	 307.53	/sec	Sun Jun 13 03:48:44 UTC 2010	    216
775	          20000	  46.84	sec	 427.03	/sec	Sun Jun 13 03:49:42 UTC 2010	      9
71	          20000	  62.54	sec	 319.79	/sec	Sun Jun 13 03:50:52 UTC 2010	     99
27	          20000	  49.06	sec	 407.62	/sec	Sun Jun 13 03:51:51 UTC 2010	    260
130	          20000	  60.20	sec	 332.22	/sec	Sun Jun 13 03:53:01 UTC 2010	     54
37	          20000	  54.01	sec	 370.30	/sec	Sun Jun 13 03:54:04 UTC 2010	    190
38	          20000	  49.67	sec	 402.62	/sec	Sun Jun 13 03:55:06 UTC 2010	    187
43	          22971	  57.22	sec	 401.45	/sec	Sun Jun 13 03:55:14 UTC 2010	    187
334	          22971	  51.26	sec	 448.14	/sec	Sun Jun 13 03:56:06 UTC 2010	     24
73	          22971	  70.11	sec	 327.64	/sec	Sun Jun 13 03:57:17 UTC 2010	    110
69	          22971	  58.78	sec	 390.77	/sec	Sun Jun 13 03:58:17 UTC 2010	    117
42	          22971	  74.24	sec	 309.42	/sec	Sun Jun 13 03:59:32 UTC 2010	    195
211	          22971	  65.15	sec	 352.58	/sec	Sun Jun 13 04:00:38 UTC 2010	     38
80	          22971	  71.39	sec	 321.76	/sec	Sun Jun 13 04:01:49 UTC 2010	    100
33	          22971	  61.52	sec	 373.37	/sec	Sun Jun 13 04:02:51 UTC 2010	    247
67	          22971	  73.15	sec	 314.03	/sec	Sun Jun 13 04:04:05 UTC 2010	    120
100	          22971	  60.43	sec	 380.11	/sec	Sun Jun 13 04:05:06 UTC 2010	     80
381	          22971	  51.18	sec	 448.82	/sec	Sun Jun 13 04:05:57 UTC 2010	     21

800	          22971	  70.09	sec	 327.74	/sec	Sun Jun 13 04:11:28 UTC 2010	     10
471	          22971	  50.74	sec	 452.76	/sec	Sun Jun 13 04:12:20 UTC 2010	     17
889	          22971	  49.90	sec	 460.31	/sec	Sun Jun 13 04:13:11 UTC 2010	      9
5	          22971	  70.70	sec	 324.91	/sec	Sun Jun 13 04:14:22 UTC 2010	   1600
1143	          22971	  54.66	sec	 420.27	/sec	Sun Jun 13 04:15:17 UTC 2010	      7
3	          22971	  80.94	sec	 283.81	/sec	Sun Jun 13 04:16:38 UTC 2010	   3000
5	          22971	  68.07	sec	 337.44	/sec	Sun Jun 13 04:17:47 UTC 2010	   1800
4000	          22971	  54.82	sec	 419.05	/sec	Sun Jun 13 04:18:42 UTC 2010	      2
422	          22971	  50.54	sec	 454.52	/sec	Sun Jun 13 04:19:33 UTC 2010	     19
3	          22971	  74.69	sec	 307.56	/sec	Sun Jun 13 04:20:48 UTC 2010	   3400
445	          22971	  69.54	sec	 330.31	/sec	Sun Jun 13 04:21:58 UTC 2010	     18
616	          22971	  56.08	sec	 409.59	/sec	Sun Jun 13 04:22:55 UTC 2010	     13
6	          22971	  80.82	sec	 284.22	/sec	Sun Jun 13 04:24:16 UTC 2010	   1400
3	          22971	  73.57	sec	 312.24	/sec	Sun Jun 13 04:25:30 UTC 2010	   3200
7	          22971	  68.45	sec	 335.57	/sec	Sun Jun 13 04:26:39 UTC 2010	   1200
4	          22971	  81.59	sec	 281.53	/sec	Sun Jun 13 04:28:01 UTC 2010	   2200
14	          22971	  65.17	sec	 352.51	/sec	Sun Jun 13 04:29:08 UTC 2010	    600
3	          22971	  72.86	sec	 315.29	/sec	Sun Jun 13 04:30:23 UTC 2010	   3800
2	          22971	  87.89	sec	 261.35	/sec	Sun Jun 13 04:31:52 UTC 2010	   4000
20	          22971	  60.68	sec	 378.57	/sec	Sun Jun 13 04:32:54 UTC 2010	    400
1000	          22971	  68.27	sec	 336.46	/sec	Sun Jun 13 04:34:03 UTC 2010	      8
572	          22971	  53.43	sec	 429.89	/sec	Sun Jun 13 04:34:56 UTC 2010	     14
4	          22971	  68.51	sec	 335.28	/sec	Sun Jun 13 04:36:05 UTC 2010	   2000
4	          22971	  71.38	sec	 321.81	/sec	Sun Jun 13 04:37:17 UTC 2010	   2600
10	          22971	  62.97	sec	 364.78	/sec	Sun Jun 13 04:38:21 UTC 2010	    800
8	          22971	  66.98	sec	 342.96	/sec	Sun Jun 13 04:39:28 UTC 2010	   1000
40	          22971	  60.17	sec	 381.75	/sec	Sun Jun 13 04:40:29 UTC 2010	    200
400	          22971	  57.66	sec	 398.38	/sec	Sun Jun 13 04:41:27 UTC 2010	     20
2667	          22971	  70.44	sec	 326.13	/sec	Sun Jun 13 04:42:37 UTC 2010	      3
1600	          22971	  57.61	sec	 398.75	/sec	Sun Jun 13 04:43:36 UTC 2010	      5
728	          22971	  56.89	sec	 403.81	/sec	Sun Jun 13 04:44:33 UTC 2010	     11
3	          22971	  74.85	sec	 306.90	/sec	Sun Jun 13 04:45:48 UTC 2010	   3600


