	0
815	1
100225	1
270412	1
580307	1
20060321	22
20060322	18
20060323	25
20060324	27
20060325	25
20060326	36
20060327	28
20060328	45
20060329	37
20060330	32
20060331	22
20060401	53
20060402	33
20060403	46
20060404	66
20060405	29
20060406	31
20060407	54
20060408	47
20060409	43
20060410	31
20060411	44
20060412	51
20060413	39
20060414	42
20060415	28
20060416	19
20060417	19
20060418	29
20060419	30
20060420	16
20060421	40
20060422	25
20060423	29
20060424	16
20060425	18
20060426	13
20060427	15
20060428	31
20060429	26
20060430	18
20060501	23
20060502	29
20060503	28
20060504	25
20060505	29
20060506	22
20060507	21
20060508	16
20060509	29
20060510	26
20060511	35
20060512	32
20060513	29
20060514	28
20060515	22
20060516	16
20060517	12
20060518	37
20060519	40
20060520	36
20060521	28
20060522	27
20060523	11
20060524	37
20060525	23
20060526	37
20060527	32
20060528	72
20060529	20
20060530	12
20060531	28
20060601	29
20060602	25
20060603	35
20060604	35
20060605	16
20060606	17
20060607	11
20060608	21
20060609	21
20060610	17
20060611	17
20060612	11
20060613	11
20060614	19
20060615	23
20060616	13
20060617	21
20060618	13
20060619	15
20060620	15
20060621	25
20060622	19
20060623	28
20060624	42
20060625	29
20060626	17
20060627	22
20060628	36
20060629	32
20060630	20
20060701	38
20060702	48
20060703	23
20060704	16
20060705	47
20060706	26
20060707	31
20060708	25
20060709	35
20060710	30
20060711	24
20060712	54
20060713	62
20060714	86
20060715	92
20060716	105
20060717	80
20060718	117
20060719	132
20060720	75
20060721	102
20060722	71
20060723	50
20060724	65
20060725	43
20060726	55
20060727	57
20060728	67
20060729	60
20060730	32
20060731	49
20060801	50
20060802	45
20060803	53
20060804	55
20060805	45
20060806	33
20060807	31
20060808	36
20060809	42
20060810	41
20060811	37
20060812	41
20060813	20
20060814	41
20060815	35
20060816	42
20060817	41
20060818	26
20060819	27
20060820	24
20060821	32
20060822	39
20060823	41
20060824	54
20060825	49
20060826	43
20060827	30
20060828	81
20060829	54
20060830	69
20060831	46
20060901	58
20060902	41
20060903	39
20060904	36
20060905	43
20060906	54
20060907	67
20060908	98
20060909	77
20060910	68
20060911	51
20060912	103
20060913	95
20060914	85
20060915	80
20060916	52
20060917	45
20060918	49
20060919	75
20060920	63
20060921	92
20060922	63
20060923	52
20060924	88
20060925	54
20060926	70
20060927	71
20060928	69
20060929	67
20060930	67
20061001	38
20061002	38
20061003	68
20061004	56
20061005	54
20061006	63
20061007	60
20061008	47
20061009	46
20061010	56
20061011	109
20061012	90
20061013	67
20061014	81
20061015	59
20061016	60
20061017	54
20061018	43
20061019	44
20061020	71
20061021	74
20061022	64
20061023	49
20061024	107
20061025	82
20061026	162
20061027	135
20061028	87
20061029	74
20061030	87
20061031	103
20061101	108
20061102	85
20061103	116
20061104	94
20061105	74
20061106	89
20061107	103
20061108	205
20061109	136
20061110	164
20061111	113
20061112	91
20061113	174
20061114	159
20061115	241
20061116	217
20061117	267
20061118	231
20061119	214
20061120	340
20061121	501
20061122	624
20061123	518
20061124	392
20061125	285
20061126	313
20061127	417
20061128	414
20061129	462
20061130	415
20061201	470
20061202	332
20061203	343
20061204	502
20061205	490
20061206	555
20061207	490
20061208	472
20061209	364
20061210	377
20061211	462
20061212	580
20061213	615
20061214	660
20061215	589
20061216	405
20061217	338
20061218	427
20061219	496
20061220	492
20061221	655
20061222	592
20061223	427
20061224	384
20061225	348
20061226	304
20061227	364
20061228	353
20061229	417
20061230	325
20061231	261
20070101	396
20070102	451
20070103	426
20070104	495
20070105	480
20070106	399
20070107	464
20070108	607
20070109	1114
20070110	618
20070111	641
20070112	631
20070113	436
20070114	423
20070115	783
20070116	1108
20070117	1233
20070118	1105
20070119	945
20070120	680
20070121	879
20070122	984
20070123	1115
20070124	920
20070125	1085
20070126	1147
20070127	877
20070128	773
20070129	1324
20070130	1268
20070131	1365
20070201	1374
20070202	1225
20070203	868
20070204	788
20070205	1169
20070206	1190
20070207	1533
20070208	1654
20070209	1536
20070210	1196
20070211	1524
20070212	2438
20070213	1692
20070214	1717
20070215	1508
20070216	1442
20070217	1073
20070218	961
20070219	1214
20070220	1459
20070221	1405
20070222	1255
20070223	1493
20070224	999
20070225	1096
20070226	1495
20070227	1703
20070228	1500
20070301	1360
20070302	1551
20070303	1157
20070304	1151
20070305	1626
20070306	1906
20070307	1964
20070308	1973
20070309	2415
20070310	2506
20070311	3210
20070312	3607
20070313	3707
20070314	3104
20070315	2977
20070316	3133
20070317	2742
20070318	2549
20070319	2884
20070320	3298
20070321	4053
20070322	3960
20070323	4171
20070324	3290
20070325	3303
20070326	4840
20070327	4846
20070328	5300
20070329	6074
20070330	5610
20070331	3255
20070401	3627
20070402	5100
20070403	5010
20070404	4621
20070405	5111
20070406	4659
20070407	3738
20070408	3657
20070409	4946
20070410	5687
20070411	6886
20070412	7208
20070413	6496
20070414	4590
20070415	6245
20070416	7012
20070417	6354
20070418	5689
20070419	5688
20070420	5781
20070421	4065
20070422	4717
20070423	6642
20070424	7161
20070425	6787
20070426	6919
20070427	6902
20070428	6534
20070429	4627
20070430	5996
20070501	6076
20070502	7236
20070503	6938
20070504	7074
20070505	4964
20070506	5182
20070507	7241
20070508	8621
20070509	7513
20070510	7380
20070511	8190
20070512	5576
20070513	4985
20070514	6521
20070515	6572
20070516	4593
20070517	6861
20070518	7535
20070519	5445
20070520	4836
20070521	6473
20070522	6800
20070523	6593
20070524	6474
20070525	7223
20070526	5444
20070527	5166
20070528	4802
20070529	7032
20070530	7158
20070531	7085
20070601	7857
20070602	5215
20070603	5210
20070604	6666
20070605	7007
20070606	6907
20070607	6327
20070608	6942
20070609	5428
20070610	5121
20070611	7856
20070612	7686
20070613	6929
20070614	6557
20070615	6615
20070616	6141
20070617	4949
20070618	7631
20070619	8067
20070620	8593
20070621	7858
20070622	6179
20070623	5468
20070624	5319
20070625	6896
20070626	6676
20070627	7638
20070628	7337
20070629	7863
20070630	5556
20070701	5181
20070702	6818
20070703	7355
20070704	6524
20070705	7376
20070706	7390
20070707	5689
20070708	5275
20070709	7067
20070710	7644
20070711	7883
20070712	8750
20070713	7673
20070714	5396
20070715	5349
20070716	8050
20070717	7855
20070718	7642
20070719	7681
20070720	8042
20070721	5157
20070722	5045
20070723	6875
20070724	8254
20070725	7776
20070726	8005
20070727	7981
20070728	6213
20070729	5765
20070730	8204
20070731	8232
20070801	8491
20070802	8383
20070803	8421
20070804	6203
20070805	5711
20070806	8729
20070807	9272
20070808	9240
20070809	8947
20070810	8823
20070811	5988
20070812	5750
20070813	8011
20070814	8347
20070815	7031
20070816	8129
20070817	7201
20070818	5663
20070819	5616
20070820	7569
20070821	7815
20070822	9512
20070823	9541
20070824	9211
20070825	6658
20070826	6419
20070827	8548
20070828	9614
20070829	9461
20070830	9337
20070831	7879
20070901	5641
20070902	5305
20070903	7396
20070904	9036
20070905	10843
20070906	6495
20070907	10839
20070908	7684
20070909	7773
20070910	9545
20070911	10425
20070912	10756
20070913	10079
20070914	10218
20070915	7813
20070916	7451
20070917	10202
20070918	10721
20070919	10438
20070920	9996
20070921	10103
20070922	7714
20070923	7442
20070924	10055
20070925	9920
20070926	10172
20070927	10118
20070928	10380
20070929	7706
20070930	7636
20071001	9469
20071002	10035
20071003	10397
20071004	10914
20071005	10700
20071006	8176
20071007	8120
20071008	10204
20071009	11358
20071010	12032
20071011	12271
20071012	11478
20071013	8805
20071014	8585
20071015	11058
20071016	12081
20071017	12881
20071018	12418
20071019	11832
20071020	8265
20071021	7753
20071022	11209
20071023	11689
20071024	12327
20071025	13063
20071026	12623
20071027	8683
20071028	8346
20071029	11008
20071030	10877
20071031	13296
20071101	11717
20071102	12495
20071103	8727
20071104	8917
20071105	11327
20071106	12592
20071107	13401
20071108	13130
20071109	13620
20071110	9388
20071111	8872
20071112	13481
20071113	13542
20071114	13940
20071115	12422
20071116	11480
20071117	8755
20071118	8804
20071119	12759
20071120	12992
20071121	13024
20071122	11105
20071123	10248
20071124	8677
20071125	8975
20071126	13404
20071127	14186
20071128	13715
20071129	14201
20071130	13715
20071201	9827
20071202	8927
20071203	12261
20071204	13214
20071205	14297
20071206	14003
20071207	13869
20071208	9202
20071209	9017
20071210	13237
20071211	14900
20071212	15580
20071213	15082
20071214	14329
20071215	9714
20071216	9616
20071217	10293
20071218	14896
20071219	15092
20071220	15222
20071221	13908
20071222	9294
20071223	9320
20071224	10636
20071225	9199
20071226	10495
20071227	12382
20071228	10977
20071229	10257
20071230	10685
20071231	12935
20080101	11320
20080102	14645
20080103	15638
20080104	16998
20080105	12920
20080106	12547
20080107	17102
20080108	17966
20080109	18517
20080110	18535
20080111	17155
20080112	12279
20080113	11824
20080114	17694
20080115	18704
20080116	17907
20080117	18537
20080118	17896
20080119	12856
20080120	12304
20080121	17456
20080122	19235
20080123	19114
20080124	17588
20080125	16973
20080126	13356
20080127	13235
20080128	18936
20080129	21304
20080130	19175
20080131	14595
20080201	19315
20080202	13304
20080203	13022
20080204	19685
20080205	18983
20080206	19148
20080207	18370
20080208	17336
20080209	12355
20080210	12622
20080211	19265
20080212	19462
20080213	21696
20080214	21242
20080215	20032
20080216	13843
20080217	13895
20080218	19525
20080219	21131
20080220	21948
20080221	23051
20080222	23473
20080223	16747
20080224	15888
20080225	24188
20080226	26979
20080227	26551
20080228	25601
20080229	20655
20080301	18321
20080302	15577
20080303	23828
20080304	26221
20080305	27739
20080306	27582
20080307	27319
20080308	20845
20080309	22619
20080310	29168
20080311	31566
20080312	31420
20080313	30902
20080314	31937
20080315	22198
20080316	21101
20080317	30059
20080318	31386
20080319	32528
20080320	33078
20080321	29881
20080322	25291
20080323	21117
20080324	30352
20080325	37856
20080326	40915
20080327	39845
20080328	39120
20080329	28800
20080330	27834
20080331	39575
20080401	42660
20080402	42220
20080403	43119
20080404	44318
20080405	29059
20080406	27127
20080407	43305
20080408	46938
20080409	47219
20080410	47526
20080411	48190
20080412	31169
20080413	31737
20080414	50610
20080415	50103
20080416	54135
20080417	55627
20080418	52601
20080419	33387
20080420	32819
20080421	47198
20080422	55812
20080423	63298
20080424	62127
20080425	59616
20080426	42972
20080427	39640
20080428	57500
20080429	62040
20080430	63508
20080501	59322
20080502	55302
20080503	41920
20080504	39466
20080505	56235
20080506	61970
20080507	61844
20080508	65468
20080509	61892
20080510	43260
20080511	39882
20080512	59047
20080513	65276
20080514	63184
20080515	63021
20080516	67575
20080517	47750
20080518	44628
20080519	63710
20080520	57720
20080521	64680
20080522	65752
20080523	62934
20080524	41519
20080525	38629
20080526	47888
20080527	58042
20080528	59662
20080529	62413
20080530	57284
20080531	43386
20080601	42134
20080602	54408
20080603	64123
20080604	66852
20080605	64986
20080606	51067
20080607	45252
20080608	42605
20080609	69745
20080610	65249
20080611	67600
20080612	67264
20080613	66032
20080614	46921
20080615	44219
20080616	63572
20080617	71005
20080618	71248
20080619	68657
20080620	66673
20080621	47448
20080622	45267
20080623	63788
20080624	63844
20080625	68771
20080626	68555
20080627	59672
20080628	44879
20080629	45387
20080630	56999
20080701	61175
20080702	62018
20080703	66502
20080704	51245
20080705	42242
20080706	45163
20080707	66530
20080708	71326
20080709	76546
20080710	82601
20080711	90846
20080712	61482
20080713	56865
20080714	81250
20080715	87955
20080716	86531
20080717	90888
20080718	82151
20080719	60094
20080720	57658
20080721	76418
20080722	93135
20080723	90177
20080724	91429
20080725	90446
20080726	63643
20080727	58950
20080728	86247
20080729	91696
20080730	95074
20080731	98043
20080801	92002
20080802	66115
20080803	60840
20080804	85681
20080805	95845
20080806	95384
20080807	97797
20080808	99862
20080809	70346
20080810	63637
20080811	92213
20080812	97084
20080813	99546
20080814	99646
20080815	95322
20080816	68454
20080817	64855
20080818	92058
20080819	102610
20080820	104234
20080821	104142
20080822	103493
20080823	75754
20080824	71109
20080825	99410
20080826	108884
20080827	114219
20080828	114132
20080829	122063
20080830	78534
20080831	72882
20080901	91949
20080902	115838
20080903	123901
20080904	137032
20080905	128099
20080906	86900
20080907	85102
20080908	119868
20080909	130511
20080910	130588
20080911	125922
20080912	131614
20080913	95623
20080914	87633
20080915	120178
20080916	128246
20080917	131536
20080918	129431
20080919	137432
20080920	91406
20080921	87591
20080922	124269
20080923	136207
20080924	139499
20080925	142696
20080926	144856
20080927	132102
20080928	95770
20080929	140474
20080930	140182
20081001	147441
20081002	153578
20081003	191463
20081004	102591
20081005	98435
20081006	141705
20081007	156102
20081008	199819
20081009	159722
20081010	161085
20081011	110129
20081012	103977
20081013	149306
20081014	173609
20081015	178113
20081016	211296
20081017	164068
20081018	116091
20081019	50538
20081020	167818
20081021	180642
20081022	180533
20081023	186412
20081024	179580
20081025	127277
20081026	124137
20081027	176222
20081028	188088
20081029	196897
20081030	200126
20081031	189333
20081101	130756
20081102	134017
20081103	187065
20081104	249382
20081105	303509
20081106	198928
20081107	196493
20081108	139813
20081109	134721
20081110	196988
20081111	209227
20081112	222288
20081113	216193
20081114	217620
20081115	152339
20081116	143907
20081117	206750
20081118	202930
20081119	237651
20081120	224994
20081121	235282
20081122	165188
20081123	158847
20081124	227693
20081125	250922
20081126	250398
20081127	208445
20081128	191368
20081129	169409
20081130	174772
20081201	250511
20081202	272599
20081203	284796
20081204	288153
20081205	286783
20081206	207882
20081207	202119
20081208	276393
20081209	310924
20081210	307584
20081211	311070
20081212	308834
20081213	223815
20081214	215574
