id	freq	dec_entity	alpha_entity	scr_code	pl_name
0	0000001800	&#0;		Latin	Latn
1	0000000326	&#1;		Latin	Latn
2	0000001354	&#2;		Latin	Latn
3	0000000925	&#3;		Latin	Latn
4	0000001858	&#4;		Latin	Latn
5	0000000213	&#5;		Latin	Latn
6	0000000325	&#6;		Latin	Latn
7	0000000180	&#7;		Latin	Latn
8	0000001439	&#8;		Latin	Latn
11	0000000066	&#11;		Latin	Latn
12	0000000178	&#12;		Latin	Latn
14	0000000118	&#14;		Latin	Latn
15	0000000102	&#15;		Latin	Latn
16	0000000183	&#16;		Latin	Latn
17	0000000042	&#17;		Latin	Latn
18	0000000027	&#18;		Latin	Latn
19	0000000049	&#19;		Latin	Latn
20	0000000107	&#20;		Latin	Latn
21	0000000017	&#21;		Latin	Latn
22	0000000058	&#22;		Latin	Latn
23	0000000067	&#23;		Latin	Latn
24	0000000044	&#24;		Latin	Latn
25	0000000073	&#25;		Latin	Latn
26	0000000082	&#26;		Latin	Latn
27	0000000850	&#27;		Latin	Latn
28	0000000056	&#28;		Latin	Latn
29	0000000050	&#29;		Latin	Latn
30	0000000024	&#30;		Latin	Latn
31	0000000083	&#31;		Latin	Latn
128	0000002740	&#128;		Latin	Latn
129	0000177740	&#129;		Latin	Latn
130	0000000484	&#130;		Latin	Latn
131	0000000518	&#131;		Latin	Latn
132	0000000335	&#132;		Latin	Latn
133	0000000271	&#133;		Latin	Latn
134	0000000126	&#134;		Latin	Latn
135	0000000118	&#135;		Latin	Latn
136	0000000093	&#136;		Latin	Latn
137	0000000105	&#137;		Latin	Latn
138	0000000085	&#138;		Latin	Latn
139	0000000179	&#139;		Latin	Latn
140	0000000120	&#140;		Latin	Latn
141	0000009198	&#141;		Latin	Latn
142	0000000059	&#142;		Latin	Latn
143	0000008796	&#143;		Latin	Latn
144	0000005249	&#144;		Latin	Latn
145	0000000577	&#145;		Latin	Latn
146	0000003419	&#146;		Latin	Latn
147	0000001417	&#147;		Latin	Latn
148	0000001193	&#148;		Latin	Latn
149	0000000291	&#149;		Latin	Latn
150	0000001187	&#150;		Latin	Latn
151	0000001377	&#151;		Latin	Latn
152	0000000114	&#152;		Latin	Latn
153	0000000744	&#153;		Latin	Latn
154	0000000100	&#154;		Latin	Latn
155	0000000084	&#155;		Latin	Latn
156	0000000291	&#156;		Latin	Latn
157	0000005586	&#157;		Latin	Latn
158	0000000071	&#158;		Latin	Latn
159	0000000104	&#159;		Latin	Latn
160	0000059930	&#160;	&nbsp;	Latin	Latn
