  alpkdc	anahei		arling		bennet
  bosbpk	bpkarl		clevel		columb
  comis2	comisk		county		detbpk
  dodger	exhibi		fenway		griffi
  hilltp	huntin		jacobs		kauffm
  kcymun	kingdo		league		lloyds
  memori	metrod		metrop		minbpk
  nyybpk	oakbpk		oaklan		oriole
  oriopk	pologr		rfksta		seabpk
  sheast	shibep		sickss		skydom
  sports	sthsid		tigers		tropic
  wrigla	yankee

23rd Street Park				    CHI02 -
3Com Park at Candlestick Point			    SFO02 -
AT&amp;T Park					    SFO03 -
Adelaide Avenue Grounds				    PRO01 -
Agricultural County Fair Grounds I		    WOR01 -
Agricultural County Fair Grounds II		    WOR02 -
Agricultural Society Fair Grounds		    RCK01 -
Allens Pasture					    RIC02 -
Aloha Stadium					    HON01 -
American League Park I				    WAS07 -
American League Park II				    WAS08 -
Angel Stadium of Anaheim			    ANA01 -
Arlington Stadium				    ARL01 -
Armory Park					    TOL04 -
Association Park				    KAN02 -
Astrodome					    HOU02 -
Athletic Park (Kansas City)			    KAN01 -
Athletic Park (Minneapolis)			    MIN01 -
Athletic Park (Washington)			    WAS04 -
Atlanta-Fulton County Stadium			    ATL01 -
Avenue Grounds					    CIN02 -
Baker Bowl					    PHI09 -
Bank Street Grounds				    CIN03 -
Belair Lot					    BAL04 -
Bennett Park					    DET02 -
Borchert Field					    MIL03 -
Boundary Field					    WAS06 -
Braves Field					    BOS08 -
Brotherhood Park				    CLE04 -
Bruce Grounds					    IND03 -
Burns Park					    DET03 -
Busch Stadium I					    STL07 -
Busch Stadium II				    STL09 -
Busch Stadium III				    STL10 -
Capitol Grounds					    WAS03 -
Capitoline Grounds				    NYC02 -
Cashman Field					    LAS01 -
Cedar Avenue Driving Park			    CLE09 -
Centennial Park					    PHI02 -
Chase Field					    PHO01 -
Cinergy Field					    CIN08 -
Citizens Bank Park				    PHI13 -
Cleveland Stadium				    CLE07 -
Colt Stadium					    HOU01 -
Columbia Park (Altoona)				    ALT01 -
Columbia Park (Philadelphia)			    PHI10 -
Comerica Park					    DET05 -
Comiskey Park I					    CHI10 -
Congress Street Grounds				    BOS04 -
Connie Mack Stadium				    PHI11 -
Coors Field					    DEN02 -
County Stadium					    MIL05 -
Crosley Field					    CIN07 -
Culver Field I					    ROC01 -
Culver Field II					    ROC02 -
Dartmouth Grounds				    BOS02 -
Dodger Stadium					    LOS03 -
Dolphins Stadium				    MIA01 -
Eastern Park					    NYC11 -
Ebbets Field					    NYC15 -
Eclipse Park I					    LOU02 -
Eclipse Park II					    LOU03 -
Elysian Field					    HOB01 -
Estadio Hiram Bithorn				    SJU01 -
Estadio Monterrey				    MNT01 -
Euclid Beach Park				    CLL01 -
Exhibition Stadium				    TOR01 -
Exposition Park					    KAN03 -
Exposition Park I				    PIT02 -
Exposition Park II				    PIT03 -
Exposition Park III				    PIT05 -
Fairview Park					    DAY01 -
Fairview Park Fair Grounds			    DOV01 -
Federal League Park				    IND07 -
Fenway Park					    BOS07 -
Forbes Field					    PIT06 -
Forepaugh Park					    PHI07 -
Geauga Lake Grounds				    GEA01 -
Gloucester Point Grounds			    GLO01 -
Gordon and Koppel Field				    KAN04 -
Grand Avenue Park				    STL02 -
Grand Duchess					    FOR01 -
Great American Ball Park			    CIN09 -
Greenbush Grounds				    ALB02 -
Griffith Stadium				    WAS09 -
Hampden Park Race Track				    SPR01 -
Handlan's Park					    STL08 -
Harrison Park					    HAR01 -
Hartford Ball Club Grounds			    HRT01 -
Hartford Trotting Park				    HRT02 -
Haymakers' Grounds				    TRO01 -
Hilltop Park					    NYC13 -
Howard Avenue Grounds				    NEW01 -
Hubert H. Humphrey Metrodome			    MIN03 -
Huntingdon Grounds I				    PHI06 -
Huntingdon Grounds II				    PHI14 -
Huntington Avenue Baseball Grounds		    BOS06 -
Indianapolis Park				    IND06 -
International Fair Association Grounds		    BUF04 -
Iron Pier					    SYR03 -
Island Grounds					    WHE01 -
Jacobs Field					    CLE08 -
Jailhouse Flats					    FOR03 -
Jefferson Street Grounds			    PHI01 -
Kauffman Stadium				    KAN06 -
Keystone Park					    PHI05 -
Kingdome					    SEA02 -
LA Memorial Coliseum				    LOS01 -
Lake Front Park I				    CHI01 -
Lake Front Park II				    CHI03 -
Lake Front Park III				    CHI04 -
Lakeside Park					    SYR04 -
League Park (Cincinnati) I			    CIN04 -
League Park (Cincinnati) II			    CIN05 -
League Park (Toledo)				    TOL01 -
League Park I					    CLE02 -
League Park II					    CLE03 -
League Park III					    CLE05 -
League Park IV					    CLE06 -
