00:unknown:aol	00	Unknown	AOL	100	2247	811	
00:unknown:akamai	00	Unknown	Akamai	100	518	222	1691
00:unknown:amazon_ec2_eu	00	Unknown	Amazon EC2 (EU)	75	1261	1066	2655
00:unknown:amazon_ec2_us	00	Unknown	Amazon EC2 (US)	94	901	231	3817
00:unknown:amazon_s3_eu	00	Unknown	Amazon S3 (EU)	79	1504	968	1386
00:unknown:amazon_s3_us	00	Unknown	Amazon S3 (US)	90	2090	531	1999
00:unknown:bing	00	Unknown	Bing	100	342	1403	
00:unknown:bitgravity	00	Unknown	BitGravity	82	367	128	
00:unknown:cdnetworks	00	Unknown	CDNetworks	100	1297	292	2110
00:unknown:cachefly	00	Unknown	CacheFly	88	1385	1205	900
00:unknown:chinacache	00	Unknown	ChinaCache	88	1933	527	2344
00:unknown:cloudfront	00	Unknown	Cloudfront	96	2115	428	2361
00:unknown:cotendo	00	Unknown	Cotendo	92	1443	96	331
00:unknown:edgecast	00	Unknown	Edgecast	93	3172	476	1422
00:unknown:facebook	00	Unknown	Facebook	100	2987	564	
00:unknown:gogrid	00	Unknown	GoGrid	88	2645	514	5881
00:unknown:google_app_engine	00	Unknown	Google App Engine	98	2239	600	1377
00:unknown:highwinds	00	Unknown	Highwinds	100	1235	322	2817
00:unknown:internap	00	Unknown	Internap	100		110	
00:unknown:internode	00	Unknown	Internode	100	1500	473	2474
00:unknown:joyent	00	Unknown	Joyent	90	3664	1128	2802
00:unknown:level3	00	Unknown	Level3	100	1975	510	4115
00:unknown:limelight	00	Unknown	Limelight	0			
00:unknown:msn	00	Unknown	MSN	100	709	472	
00:unknown:maxcdn	00	Unknown	MaxCDN	100	172	78	329
00:unknown:microsoft_azure	00	Unknown	Microsoft Azure	92	1250	702	2655
00:unknown:ngenix	00	Unknown	Ngenix	86	3719	714	5561
00:unknown:nirvanix	00	Unknown	Nirvanix	0			
00:unknown:qzone	00	Unknown	Qzone	67	3585	1681	
00:unknown:rackspace_cloudfiles	00	Unknown	Rackspace CloudFiles	98	795	407	1578
00:unknown:rackspace_cloudserver	00	Unknown	Rackspace CloudServer	52	971	1888	542
00:unknown:simplecdn	00	Unknown	SimpleCDN	92	1558	477	750
00:unknown:twitter	00	Unknown	Twitter	47	483	991	
00:unknown:yacast	00	Unknown	Yacast	18		1883	
00:unknown:yahoo	00	Unknown	Yahoo	100	1916	1075	
00:unknown:youtube	00	Unknown	YouTube	93	461	457	
ad:amadeus_soluciones_tecnologicas:aol	AD	Amadeus Soluciones Tecnologicas	AOL	100	1427		
ad:amadeus_soluciones_tecnologicas:akamai	AD	Amadeus Soluciones Tecnologicas	Akamai	100		141	
ad:amadeus_soluciones_tecnologicas:amazon_ec2_eu	AD	Amadeus Soluciones Tecnologicas	Amazon EC2 (EU)	100		145	
ad:amadeus_soluciones_tecnologicas:amazon_ec2_us	AD	Amadeus Soluciones Tecnologicas	Amazon EC2 (US)	100		197	
ad:amadeus_soluciones_tecnologicas:amazon_s3_eu	AD	Amadeus Soluciones Tecnologicas	Amazon S3 (EU)	100		117	
ad:amadeus_soluciones_tecnologicas:amazon_s3_us	AD	Amadeus Soluciones Tecnologicas	Amazon S3 (US)	100		206	
ad:amadeus_soluciones_tecnologicas:bitgravity	AD	Amadeus Soluciones Tecnologicas	BitGravity	100		1268	
ad:amadeus_soluciones_tecnologicas:cdnetworks	AD	Amadeus Soluciones Tecnologicas	CDNetworks	100		72	
ad:amadeus_soluciones_tecnologicas:cachefly	AD	Amadeus Soluciones Tecnologicas	CacheFly	100		99	
